-3,-1.59
-2.95,-1.47
-2.9,-1.47
-2.85,-1.43
-2.8,-1.41
-2.75,-1.53
-2.7,-1.29
-2.65,-1.26
-2.6,-1.18
-2.55,-1.14
-2.5,-1.09
-2.45,-1.07
-2.4,-1.04
-2.35,-0.983
-2.3,-0.947
-2.25,-0.924
-2.2,-0.879
-2.15,-0.847
-2.1,-0.823
-2.05,-0.78
-2,-0.74
-1.95,-0.694
-1.9,-0.656
-1.85,-0.629
-1.8,-0.594
-1.75,-0.561
-1.7,-0.533
-1.65,-0.506
-1.6,-0.479
-1.55,-0.46
-1.5,-0.436
-1.45,-0.399
-1.4,-0.374
-1.35,-0.342
-1.3,-0.321
-1.25,-0.297
-1.2,-0.273
-1.15,-0.255
-1.1,-0.235
-1.05,-0.218
-1,-0.194
-0.95,-0.172
-0.9,-0.152
-0.85,-0.139
-0.8,-0.128
-0.75,-0.113
-0.7,-0.101
-0.65,-0.0897
-0.6,-0.0801
-0.55,-0.0699
-0.5,-0.061
-0.45,-0.0524
-0.4,-0.0451
-0.35,-0.0376
-0.3,-0.0308
-0.25,-0.0245
-0.2,-0.0191
-0.15,-0.0138
-0.1,-0.00902
-0.05,-0.00451
-2.29E-15,6.26E-5
0.05,0.00447
0.1,0.00895
0.15,0.0135
0.2,0.0186
0.25,0.0237
0.3,0.0298
0.35,0.0366
0.4,0.0465
0.45,0.0614
0.5,0.0934
0.55,0.175
0.6,0.427
0.65,1.16
0.7,3.51
0.75,10.4
0.8,30.2
0.85,74
0.9,154
0.95,266
1,405
1.05,563
1.1,736
1.15,918
1.2,1110
1.25,1310
1.3,1510
1.35,1720
1.4,1930
1.45,2150
1.5,2360
1.55,2580
1.6,2800
1.65,3030
1.7,3250
1.75,3480
1.8,3710
1.85,3940
1.9,4170
1.95,4410
2,4640
2.05,4880
2.1,5120
2.15,5360
2.2,5600
2.25,5840
2.3,6080
2.35,6320
2.4,6560
2.45,6810
2.5,7050
2.55,7300
2.6,7550
2.65,7800
2.7,8050
2.75,8290
2.8,8550
2.85,8800
2.9,9050
2.95,9300
3,9560
