-1,-23.67595
-0.95,-23.63311
-0.9,-23.58946
-0.85,-23.5457
-0.8,-23.50035
-0.75,-23.45388
-0.7,-23.40738
-0.65,-23.3592
-0.6,-23.31006
-0.55,-23.25927
-0.5,-23.20716
-0.45,-23.15378
-0.4,-23.09887
-0.35,-23.04217
-0.3,-22.98324
-0.25,-22.92308
-0.2,-22.86097
-0.15,-22.79557
-0.1,-22.7275
-0.05,-22.65697
0,-22.5829
0.05,-22.50516
0.1,-22.42335
0.15,-22.3369
0.2,-22.24557
0.25,-22.14854
0.3,-22.04486
0.35,-21.93311
0.4,-21.81123
0.45,-21.67847
0.5,-21.53147
0.55,-21.35949
0.6,-21.14166
0.65,-20.80102
0.7,-20.03959
0.75,-17.57397
0.8,-7.994657
0.85,25.14648
0.9,101.0126
0.95,215.3596
1,352.8888
1.05,503.7772
1.1,663.017
1.15,828.159
1.2,997.561
