Wavelength (nm),Y6_n,Y6_k
565,1.35603,0.29158
566,1.35459,0.29166
567,1.35312,0.29176
568,1.35158,0.29193
569,1.35001,0.29216
570,1.3484,0.2925
571,1.34675,0.29296
572,1.34507,0.29349
573,1.34335,0.29425
574,1.34161,0.29513
575,1.33984,0.29614
576,1.33807,0.29739
577,1.33631,0.29874
578,1.33456,0.30025
579,1.33285,0.3019
580,1.33118,0.30364
581,1.32958,0.30553
582,1.32805,0.30751
583,1.32659,0.30957
584,1.32527,0.31174
585,1.32403,0.31396
586,1.32291,0.31625
587,1.32196,0.3186
588,1.3211,0.32098
589,1.32042,0.32342
590,1.31984,0.3259
591,1.31932,0.32842
592,1.31892,0.33102
593,1.31853,0.33366
594,1.31817,0.33635
595,1.31781,0.33915
596,1.31743,0.34199
597,1.31701,0.34492
598,1.31652,0.34793
599,1.31599,0.35101
600,1.31531,0.35421
601,1.31454,0.35749
602,1.31366,0.36086
603,1.3126,0.36437
604,1.31148,0.36795
605,1.31026,0.37166
606,1.30899,0.37547
607,1.30771,0.37935
608,1.30646,0.38338
609,1.30525,0.38749
610,1.30408,0.39168
611,1.30307,0.396
612,1.30214,0.40039
613,1.30138,0.40487
614,1.30084,0.40945
615,1.30043,0.41409
616,1.30033,0.41884
617,1.30045,0.42364
618,1.30078,0.42849
619,1.30147,0.43342
620,1.30231,0.4384
621,1.30337,0.44342
622,1.30465,0.44848
623,1.30604,0.45356
624,1.30763,0.45868
625,1.30934,0.4638
626,1.31113,0.46894
627,1.31305,0.47408
628,1.31502,0.47923
629,1.31706,0.48437
630,1.31913,0.4895
631,1.32122,0.49463
632,1.32333,0.49973
633,1.32542,0.50481
634,1.3275,0.50988
635,1.32956,0.51489
636,1.33161,0.51985
637,1.33366,0.52477
638,1.33571,0.52957
639,1.33777,0.5343
640,1.33982,0.53892
641,1.34189,0.54341
642,1.34396,0.54781
643,1.34605,0.55202
644,1.34816,0.55609
645,1.35029,0.56005
646,1.35245,0.56375
647,1.35462,0.56733
648,1.35682,0.57071
649,1.35905,0.57384
650,1.3613,0.57684
651,1.36358,0.57959
652,1.36587,0.58218
653,1.36817,0.58465
654,1.37046,0.58691
655,1.37273,0.58911
656,1.37499,0.59122
657,1.37721,0.59323
658,1.37939,0.59521
659,1.38153,0.59714
660,1.38361,0.59906
661,1.38565,0.60098
662,1.38758,0.60292
663,1.38946,0.60489
664,1.39126,0.6069
665,1.39295,0.60901
666,1.39457,0.61117
667,1.39608,0.61344
668,1.39749,0.61583
669,1.39884,0.6183
670,1.40006,0.62093
671,1.40123,0.62366
672,1.40236,0.62648
673,1.4034,0.62948
674,1.40442,0.63256
675,1.40541,0.63577
676,1.40638,0.63914
677,1.40733,0.64259
678,1.40829,0.64621
679,1.40925,0.64996
680,1.41022,0.65379
681,1.41123,0.65783
682,1.41226,0.66196
683,1.41333,0.66621
684,1.41447,0.67065
685,1.41564,0.67518
686,1.41689,0.67986
687,1.41822,0.68468
688,1.4196,0.68957
689,1.42108,0.69463
690,1.42263,0.69975
691,1.42425,0.70495
692,1.426,0.71026
693,1.4278,0.71561
694,1.42969,0.72101
695,1.4317,0.72647
696,1.43376,0.73195
697,1.43595,0.73746
698,1.43823,0.74299
699,1.44058,0.74853
700,1.44309,0.75407
701,1.44565,0.7596
702,1.44832,0.76511
703,1.45112,0.77058
704,1.45398,0.77604
705,1.45697,0.78144
706,1.46006,0.7868
707,1.46322,0.79212
708,1.46652,0.79737
709,1.46989,0.80258
710,1.47335,0.80774
711,1.47692,0.81282
712,1.48054,0.81786
713,1.48426,0.82283
714,1.48806,0.82774
715,1.49191,0.83261
716,1.49587,0.83737
717,1.49988,0.84209
718,1.50394,0.84675
719,1.5081,0.85132
720,1.5123,0.85584
721,1.51656,0.86029
722,1.52089,0.86465
723,1.52525,0.86896
724,1.52969,0.87319
725,1.53417,0.87734
726,1.53868,0.88144
727,1.54326,0.88543
728,1.54787,0.88939
729,1.55252,0.89331
