Wavelength (nm),ZnOnanoVLC_n,ZnOnanoVLC_k
544,1.34496,1.23678E-4
545,1.34487,1.2063E-4
546,1.34477,1.18118E-4
547,1.34467,1.15257E-4
548,1.34458,1.12117E-4
549,1.34448,1.09581E-4
550,1.34439,1.07069E-4
551,1.34429,1.04557E-4
552,1.3442,1.02044E-4
553,1.34411,9.96489E-5
554,1.34402,9.77645E-5
555,1.34393,9.55068E-5
556,1.34384,9.29956E-5
557,1.34375,9.11112E-5
558,1.34366,8.92267E-5
559,1.34357,8.73421E-5
560,1.34348,8.49434E-5
561,1.3434,8.2573E-5
562,1.34331,8.06883E-5
563,1.34322,7.92024E-5
564,1.34314,7.79189E-5
565,1.34306,7.60342E-5
566,1.34297,7.41494E-5
567,1.34289,7.22646E-5
568,1.34281,7.09199E-5
569,1.34273,6.94949E-5
570,1.34264,6.761E-5
571,1.34256,6.615E-5
572,1.34248,6.48934E-5
573,1.3424,6.36366E-5
574,1.34233,6.20699E-5
575,1.34225,6.01848E-5
576,1.34217,5.88664E-5
577,1.34209,5.76096E-5
578,1.34202,5.63529E-5
579,1.34194,5.5096E-5
580,1.34186,5.39196E-5
581,1.34179,5.32911E-5
582,1.34171,5.23254E-5
583,1.34164,5.10684E-5
584,1.34157,4.98115E-5
585,1.34149,4.85545E-5
586,1.34142,4.72975E-5
587,1.34135,4.65202E-5
588,1.34128,4.57833E-5
589,1.34121,4.45262E-5
590,1.34114,4.36345E-5
591,1.34107,4.3006E-5
592,1.341,4.17548E-5
593,1.34093,4.07488E-5
594,1.34086,4.01202E-5
595,1.34079,3.94916E-5
596,1.34072,3.87258E-5
597,1.34066,3.74686E-5
598,1.34059,3.66056E-5
599,1.34052,3.59769E-5
600,1.34046,3.53482E-5
601,1.34039,3.47195E-5
602,1.34033,3.40908E-5
603,1.34026,3.3462E-5
604,1.3402,3.28333E-5
605,1.34013,3.22045E-5
606,1.34007,3.15757E-5
607,1.34001,3.0947E-5
608,1.33995,3.03181E-5
609,1.33988,2.96893E-5
610,1.33982,2.90605E-5
611,1.33976,2.84316E-5
612,1.3397,2.78027E-5
613,1.33964,2.71738E-5
614,1.33958,2.65449E-5
615,1.33952,2.5916E-5
616,1.33946,2.52871E-5
617,1.3394,2.46581E-5
618,1.33934,2.40292E-5
619,1.33928,2.4E-5
620,1.33923,2.37712E-5
621,1.33917,2.31422E-5
622,1.33911,2.25132E-5
623,1.33905,2.2E-5
624,1.339,2.2E-5
625,1.33894,2.1626E-5
626,1.33889,2.09969E-5
627,1.33883,2.03678E-5
628,1.33878,2E-5
629,1.33872,2E-5
630,1.33867,1.94804E-5
631,1.33861,1.88512E-5
632,1.33856,1.8222E-5
633,1.3385,1.8E-5
634,1.33845,1.79637E-5
635,1.3384,1.73344E-5
636,1.33835,1.7E-5
637,1.33829,1.7E-5
638,1.33824,1.64466E-5
639,1.33819,1.6E-5
640,1.33814,1.6E-5
641,1.33809,1.55587E-5
642,1.33804,1.5E-5
643,1.33799,1.5E-5
644,1.33794,1.46706E-5
645,1.33789,1.40412E-5
646,1.33784,1.4E-5
647,1.33779,1.4E-5
648,1.33774,1.4E-5
649,1.33769,1.35234E-5
650,1.33764,1.3E-5
651,1.33759,1.3E-5
652,1.33755,1.26349E-5
