Wavelength (nm),MAPITejas2_n,MAPITejas2_k
564,2.49747,0.35322
565,2.49462,0.3499
566,2.49176,0.34657
567,2.48891,0.34324
568,2.48605,0.33991
569,2.4832,0.33658
570,2.48034,0.33325
571,2.47744,0.3299
572,2.47454,0.32654
573,2.47163,0.32319
574,2.46873,0.31983
575,2.46583,0.31647
576,2.46063,0.31353
577,2.45543,0.31058
578,2.45023,0.30764
579,2.44503,0.30469
580,2.43983,0.30175
581,2.4349,0.29903
582,2.42996,0.29632
583,2.42502,0.29361
584,2.42009,0.29089
585,2.41515,0.28818
586,2.41096,0.28593
587,2.40677,0.28369
588,2.40258,0.28144
589,2.39839,0.27919
590,2.3942,0.27695
591,2.39001,0.27481
592,2.38582,0.27267
593,2.38163,0.27053
594,2.37744,0.26839
595,2.37326,0.26625
596,2.36898,0.26411
597,2.36471,0.26197
598,2.36044,0.25983
599,2.35617,0.25769
600,2.3519,0.25556
601,2.34619,0.25357
602,2.34049,0.25158
603,2.33479,0.24959
604,2.32909,0.2476
605,2.32338,0.24561
606,2.31826,0.24399
607,2.31314,0.24237
608,2.30802,0.24075
609,2.3029,0.23913
610,2.29778,0.23751
611,2.29405,0.2361
612,2.29033,0.23468
613,2.2866,0.23327
614,2.28288,0.23185
615,2.27915,0.23044
616,2.27542,0.22927
617,2.2717,0.22809
618,2.26797,0.22692
619,2.26424,0.22574
620,2.26052,0.22457
621,2.25692,0.22375
622,2.25332,0.22293
623,2.24973,0.22211
624,2.24613,0.22129
625,2.24253,0.22047
626,2.23912,0.2198
627,2.23572,0.21914
628,2.23231,0.21847
629,2.2289,0.2178
630,2.2255,0.21713
631,2.22209,0.21646
632,2.21868,0.2158
633,2.21527,0.21513
634,2.21187,0.21446
635,2.20846,0.21379
636,2.20519,0.21325
637,2.20192,0.2127
638,2.19865,0.21216
639,2.19538,0.21162
640,2.19211,0.21107
641,2.1894,0.21066
642,2.18669,0.21024
643,2.18398,0.20982
644,2.18127,0.20941
645,2.17857,0.20899
