Wavelength (nm),SFPDI2_n,SFPDI2_k
564,1.83416,0.18196
565,1.83722,0.17781
566,1.84013,0.17359
567,1.84287,0.16929
568,1.84531,0.16487
569,1.84762,0.16038
570,1.84967,0.15579
571,1.85148,0.1511
572,1.85315,0.14636
573,1.8545,0.14152
574,1.85569,0.13665
575,1.85672,0.13174
576,1.85747,0.1268
577,1.85809,0.12185
578,1.85851,0.11691
579,1.85873,0.112
580,1.85883,0.1071
581,1.8587,0.10227
582,1.85843,0.09749
583,1.85804,0.09277
584,1.85742,0.08817
585,1.8567,0.08364
586,1.85583,0.07921
587,1.85479,0.07491
588,1.85366,0.07069
589,1.85235,0.06662
590,1.85094,0.06267
591,1.84944,0.0588
592,1.84775,0.05513
593,1.84599,0.05155
594,1.84413,0.04811
595,1.84214,0.04485
596,1.84008,0.04168
597,1.8379,0.0387
598,1.83564,0.03588
599,1.83331,0.03316
600,1.83086,0.03069
601,1.82837,0.02832
602,1.82581,0.02608
603,1.82318,0.02403
604,1.82053,0.02206
605,1.81783,0.02025
606,1.8151,0.01856
607,1.81236,0.01695
608,1.8096,0.0155
609,1.80684,0.01412
610,1.80408,0.01283
611,1.80135,0.01166
612,1.79863,0.01055
613,1.79595,0.00953
614,1.79331,0.0086
615,1.79069,0.00771
616,1.78815,0.00692
617,1.78564,0.00618
618,1.78317,0.00548
619,1.78079,0.00487
620,1.77844,0.0043
621,1.77615,0.00378
622,1.77393,0.00332
623,1.77176,0.00289
624,1.76967,0.00251
625,1.76764,0.00217
626,1.76565,0.00185
627,1.76378,0.00159
628,1.76196,0.00134
629,1.7602,0.00113
630,1.75855,9.40957E-4
631,1.75694,7.70931E-4
632,1.75542,6.26848E-4
633,1.75396,5.02714E-4
634,1.75254,3.91023E-4
635,1.75121,3.04817E-4
636,1.7499,2.29224E-4
637,1.74864,1.65669E-4
638,1.74743,1.19264E-4
639,1.74625,7.95965E-5
640,1.7451,5.06473E-5
641,1.74397,3.0525E-5
642,1.74286,1.51518E-5
643,1.74178,7.59959E-6
644,1.7407,2.68234E-6
645,1.73963,1.64727E-7
646,1.73857,0
647,1.7375,0
648,1.73644,0
649,1.73537,0
650,1.73431,0
651,1.73325,0
652,1.73218,0
653,1.73112,0
654,1.73006,0
655,1.72901,0
656,1.72795,0
657,1.7269,0
658,1.72585,0
659,1.72481,0
660,1.72377,0
661,1.72273,0
662,1.7217,0
663,1.72067,0
664,1.71965,0
665,1.71864,0
666,1.71763,0
667,1.71662,0
668,1.71562,0
669,1.71463,0
670,1.71364,0
671,1.71266,0
672,1.71168,0
673,1.7107,0
674,1.70973,0
675,1.70877,0
676,1.70781,0
677,1.70685,0
678,1.7059,0
679,1.70495,0
680,1.704,0
681,1.70306,0
682,1.70213,0
683,1.7012,0
684,1.70027,0
685,1.69936,0
686,1.69845,0
687,1.69757,0
688,1.6967,0
689,1.69585,0
690,1.69503,0
691,1.69423,0
692,1.69348,0
693,1.69274,0
694,1.69205,0
695,1.6914,0
696,1.69078,0
697,1.69021,0
698,1.68969,0
699,1.68921,0
700,1.6888,0
701,1.68842,0
702,1.68811,0
703,1.68786,0
704,1.68765,0
705,1.6875,0
706,1.68739,0
707,1.68731,0
708,1.68729,0
709,1.6873,0
710,1.68732,0
711,1.68739,0
712,1.68747,0
713,1.68757,0
714,1.68769,0
715,1.68781,0
716,1.68795,0
717,1.68809,0
718,1.68823,0
719,1.68837,0
720,1.68851,0
721,1.68864,0
722,1.68875,0
723,1.68886,0
724,1.68894,0
725,1.68901,0
726,1.68907,0
727,1.6891,0
728,1.68912,0
729,1.68913,0
730,1.6891,0
731,1.68907,0
732,1.68901,0
733,1.68893,0
734,1.68884,0
735,1.68871,0
736,1.68857,0
737,1.68842,0
738,1.68823,0
739,1.68802,0
740,1.68779,0
741,1.68754,0
742,1.68727,0
743,1.68696,0
744,1.68664,0
745,1.68629,0
746,1.68591,0
747,1.68552,0
748,1.6851,0
749,1.68466,0
750,1.6842,0
751,1.68373,0
752,1.68323,0
753,1.68273,0
754,1.6822,0
755,1.68166,0
756,1.68112,0
757,1.68055,0
758,1.67998,0
759,1.6794,0
760,1.67882,0
761,1.67822,0
762,1.67762,0
763,1.67702,0
764,1.67641,0
765,1.67579,0
766,1.67518,0
767,1.67457,0
768,1.67395,0
769,1.67334,0
770,1.67273,0
771,1.67212,0
772,1.67151,0
773,1.67091,0
774,1.67032,0
775,1.66973,0
776,1.66915,0
777,1.66858,0
778,1.66802,0
779,1.66747,0
780,1.66693,0
781,1.66641,0
782,1.6659,0
783,1.6654,0
784,1.66492,0
785,1.66445,0
786,1.664,0
787,1.66357,0
788,1.66316,0
789,1.66276,0
790,1.66239,0
791,1.66203,0
792,1.6617,0
793,1.66139,0
794,1.6611,0
795,1.66084,0
796,1.66059,0
797,1.66036,0
798,1.66015,0
799,1.65995,0
800,1.65977,0
