Wavelength (nm),MAPITejas_n,MAPITejas_k
564,0.57184,2.4684
565,0.56869,2.46924
566,0.56559,2.47003
567,0.56267,2.47005
568,0.55976,2.47006
569,0.55684,2.47007
570,0.55392,2.47008
571,0.551,2.4701
572,0.54808,2.47011
573,0.54516,2.47012
574,0.54224,2.47014
575,0.53932,2.47015
576,0.53641,2.47016
577,0.53349,2.47018
578,0.53057,2.47019
579,0.52765,2.4702
580,0.52473,2.47021
581,0.52181,2.47023
582,0.51889,2.47024
583,0.51597,2.47025
584,0.51306,2.47027
585,0.51014,2.47028
586,0.50722,2.47029
587,0.5043,2.47031
588,0.50138,2.47032
589,0.49864,2.47033
590,0.49648,2.47034
591,0.49432,2.47036
592,0.49215,2.47037
593,0.48999,2.47038
594,0.48783,2.4704
595,0.48567,2.47041
596,0.48351,2.47035
597,0.48134,2.47008
598,0.47918,2.46981
599,0.47702,2.46954
600,0.47486,2.46927
601,0.47269,2.46899
602,0.47053,2.46872
603,0.46837,2.46845
604,0.46621,2.46818
605,0.46405,2.46791
606,0.46188,2.46764
607,0.45972,2.46737
608,0.45756,2.4671
609,0.4554,2.46683
610,0.45323,2.46656
611,0.45107,2.46629
612,0.44891,2.46602
613,0.44688,2.46575
614,0.44507,2.46548
615,0.44325,2.46521
616,0.44144,2.46494
617,0.43962,2.46467
618,0.43781,2.4644
619,0.436,2.46413
620,0.43418,2.46386
621,0.43237,2.46358
622,0.43055,2.46331
623,0.42874,2.46304
624,0.42692,2.46277
625,0.42511,2.4625
626,0.4233,2.46223
627,0.42148,2.46196
628,0.41967,2.46169
629,0.41785,2.46142
630,0.41604,2.46115
631,0.41422,2.46088
632,0.41241,2.46061
633,0.41059,2.4601
634,0.40878,2.45947
635,0.40697,2.45884
636,0.40515,2.45822
637,0.40334,2.45759
638,0.40152,2.45696
639,0.40039,2.45633
640,0.39939,2.4557
641,0.39838,2.45507
642,0.39738,2.45444
643,0.39638,2.45382
644,0.39538,2.45319
645,0.39437,2.45256
646,0.39337,2.45193
647,0.39237,2.4513
648,0.39137,2.45067
649,0.39036,2.45004
650,0.38936,2.44942
651,0.38836,2.44879
652,0.38736,2.44816
653,0.38635,2.44753
654,0.38535,2.4469
655,0.38435,2.44627
656,0.38335,2.44565
657,0.38234,2.44502
658,0.38134,2.44439
659,0.38034,2.44376
660,0.37934,2.44313
661,0.37833,2.4425
662,0.37733,2.44187
663,0.37633,2.44125
664,0.37537,2.44062
665,0.37451,2.44019
666,0.37365,2.44021
667,0.3728,2.44022
668,0.37194,2.44023
669,0.37108,2.44024
670,0.37022,2.44026
671,0.36937,2.44027
672,0.36851,2.44028
673,0.36765,2.4403
674,0.36679,2.44031
675,0.36594,2.44032
676,0.36508,2.44034
677,0.36422,2.44035
678,0.36336,2.44036
679,0.36251,2.44037
680,0.36165,2.44039
681,0.36079,2.4404
682,0.35993,2.44041
683,0.35908,2.44043
684,0.35822,2.44044
685,0.35736,2.44045
686,0.3565,2.44047
687,0.35565,2.44048
688,0.35496,2.44049
689,0.35446,2.4405
690,0.35397,2.44052
691,0.35347,2.44053
692,0.35298,2.44054
693,0.35248,2.44056
694,0.35199,2.44057
695,0.35149,2.44058
696,0.351,2.44059
697,0.3505,2.4409
698,0.35001,2.44128
699,0.34951,2.44165
700,0.34902,2.44202
701,0.34852,2.44239
702,0.34803,2.44276
703,0.34753,2.44313
704,0.34704,2.44351
705,0.34654,2.44388
706,0.34605,2.44425
707,0.34555,2.44462
708,0.34507,2.44499
709,0.34482,2.44536
710,0.34456,2.44573
711,0.34431,2.44611
712,0.34406,2.44648
713,0.34381,2.44685
714,0.34356,2.44722
715,0.3433,2.44759
716,0.34305,2.44796
717,0.3428,2.44834
718,0.34255,2.44871
719,0.3423,2.44908
720,0.34204,2.44945
721,0.34179,2.44982
722,0.34154,2.45019
723,0.34129,2.45056
724,0.34104,2.45094
725,0.34078,2.45131
726,0.34053,2.45318
