Wavelength (nm),IDIC_n,IDIC_k
565,1.88885,0.47365
566,1.89012,0.49727
567,1.89104,0.5218
568,1.89154,0.54765
569,1.89187,0.57407
570,1.89193,0.60151
571,1.89183,0.62978
572,1.89164,0.65855
573,1.89133,0.6883
574,1.891,0.71851
575,1.89066,0.7492
576,1.89034,0.78059
577,1.89007,0.81226
578,1.88986,0.84437
579,1.88977,0.87683
580,1.88974,0.90947
581,1.88988,0.94243
582,1.89013,0.9755
583,1.89047,1.00868
584,1.89103,1.04195
585,1.89167,1.07522
586,1.89245,1.10848
587,1.89339,1.14164
588,1.89441,1.17473
589,1.89559,1.20764
590,1.89686,1.24037
591,1.8982,1.27297
592,1.89969,1.30517
593,1.90125,1.33712
594,1.90292,1.3687
595,1.90478,1.39961
596,1.90674,1.43014
597,1.90891,1.45984
598,1.91125,1.48878
599,1.9137,1.5172
600,1.91643,1.54425
601,1.91928,1.5706
602,1.92228,1.59608
603,1.92551,1.62008
604,1.92886,1.64333
605,1.93239,1.66521
606,1.9361,1.68575
607,1.9399,1.70545
608,1.94393,1.72322
609,1.94808,1.73988
610,1.95235,1.75542
611,1.95683,1.76884
612,1.96142,1.78126
613,1.96616,1.79201
614,1.97109,1.80091
615,1.97613,1.80875
616,1.9814,1.8143
617,1.98682,1.81835
618,1.99239,1.82114
619,1.99827,1.82121
620,2.00431,1.82008
621,2.0106,1.81706
622,2.01722,1.81171
623,2.02405,1.80517
624,2.0313,1.79641
625,2.03891,1.78632
626,2.04677,1.77532
627,2.05529,1.76257
628,2.06412,1.7493
629,2.07338,1.73528
630,2.08329,1.72058
631,2.09353,1.70565
632,2.10439,1.69045
633,2.11578,1.67531
634,2.1275,1.66022
635,2.14,1.64562
636,2.15286,1.63147
637,2.16614,1.61781
638,2.18007,1.60533
639,2.19428,1.59351
640,2.20896,1.58292
641,2.22405,1.57378
642,2.23938,1.56554
643,2.25515,1.55944
644,2.27113,1.55476
645,2.28731,1.55137
646,2.30379,1.55076
647,2.32037,1.55147
648,2.33711,1.55429
649,2.35398,1.5597
650,2.37091,1.56656
651,2.38793,1.57642
652,2.405,1.58847
653,2.42211,1.6021
654,2.43929,1.61958
655,2.45649,1.63869
656,2.47374,1.66017
657,2.49106,1.6846
658,2.50841,1.71035
659,2.52582,1.73834
660,2.54326,1.76772
661,2.56073,1.79796
662,2.57823,1.82966
663,2.59573,1.8618
664,2.61322,1.89443
665,2.63067,1.92741
666,2.64808,1.96041
667,2.66541,1.99334
668,2.68261,2.02589
669,2.69973,2.05818
670,2.71662,2.08961
671,2.73333,2.12036
672,2.74989,2.15048
673,2.76605,2.17905
674,2.78202,2.20683
675,2.79766,2.23334
676,2.81287,2.25813
677,2.82782,2.28196
678,2.84225,2.30371
679,2.85625,2.32384
680,2.86996,2.34283
681,2.88289,2.35882
682,2.89547,2.37349
683,2.90757,2.38625
684,2.91893,2.39616
685,2.92991,2.40458
686,2.94019,2.4102
687,2.94985,2.41326
688,2.95911,2.41469
689,2.96746,2.41224
690,2.97533,2.40768
691,2.98269,2.40082
692,2.98919,2.38981
693,2.99529,2.3768
694,3.00075,2.36039
695,3.0056,2.34058
696,3.01013,2.31887
697,3.01405,2.29334
698,3.01767,2.2656
699,3.02103,2.236
700,3.02399,2.20279
701,3.02683,2.16812
702,3.0295,2.13128
703,3.03207,2.09192
704,3.03461,2.05131
705,3.03716,2.00838
706,3.0398,1.96385
707,3.04251,1.91825
708,3.04549,1.87041
709,3.04866,1.82168
710,3.05204,1.77185
711,3.05587,1.72058
712,3.05993,1.6687
713,3.06443,1.61585
714,3.06939,1.56232
715,3.07463,1.50841
716,3.0805,1.45392
717,3.08675,1.39929
718,3.09334,1.34453
719,3.10057,1.28985
720,3.10807,1.23533
721,3.11598,1.18111
722,3.12428,1.1275
723,3.13278,1.07429
724,3.14161,1.02203
725,3.15056,0.97064
726,3.1596,0.91986
727,3.16866,0.87084
728,3.17764,0.82269
729,3.1865,0.77572
730,3.195,0.73066
731,3.20326,0.68662
732,3.211,0.64445
733,3.2181,0.60409
734,3.2248,0.56487
735,3.23039,0.52828
736,3.23529,0.49317
737,3.23948,0.45953
738,3.24235,0.42843
739,3.24462,0.39842
740,3.24594,0.37014
741,3.24619,0.34367
742,3.24585,0.31817
743,3.24435,0.29454
744,3.24206,0.27213
745,3.23921,0.25059
746,3.23506,0.23099
747,3.23039,0.21215
748,3.225,0.19437
749,3.21862,0.17799
750,3.21176,0.16229
751,3.20406,0.14777
752,3.19566,0.13423
753,3.18684,0.1213
754,3.17711,0.10963
755,3.16694,0.09859
756,3.15631,0.08819
757,3.14494,0.07888
758,3.13324,0.07003
759,3.12105,0.06193
760,3.10836,0.0546
761,3.09541,0.04768
762,3.08197,0.04155
763,3.06825,0.03593
764,3.05432,0.03068
765,3.03998,0.02624
766,3.0255,0.0221
767,3.01084,0.01839
768,2.99598,0.01525
769,2.98105,0.01236
770,2.96601,0.00992
771,2.95093,0.00785
772,2.93585,0.00599
773,2.9208,0.00456
774,2.90582,0.00333
775,2.89091,0.00231
776,2.87621,0.00159
777,2.86164,9.96605E-4
778,2.84729,5.78611E-4
779,2.83326,3.16197E-4
780,2.81943,1.26478E-4
781,2.80603,4.80586E-5
782,2.793,1.05065E-5
783,2.78023,0
784,2.76815,0
785,2.75638,0
786,2.74499,0
787,2.73419,0
788,2.72367,0
789,2.71361,0
790,2.704,0
791,2.69465,0
792,2.68583,0
793,2.67733,0
794,2.6691,0
795,2.66141,0
796,2.65394,0
797,2.64681,0
798,2.64008,0
799,2.63356,0
800,2.62742,0
