Wavelength (nm),ITIC_n,ITIC_k
565,1.3213,0.36284
566,1.31952,0.36802
567,1.31782,0.37304
568,1.31621,0.37789
569,1.31465,0.38268
570,1.31317,0.38739
571,1.31174,0.39209
572,1.31035,0.39678
573,1.30903,0.40154
574,1.30775,0.40637
575,1.30649,0.41127
576,1.3053,0.41638
577,1.30412,0.42162
578,1.30299,0.42706
579,1.3019,0.43278
580,1.30083,0.43866
581,1.29981,0.44493
582,1.29882,0.45149
583,1.29787,0.45828
584,1.29698,0.46562
585,1.29613,0.47322
586,1.29533,0.48124
587,1.29461,0.48978
588,1.29394,0.49862
589,1.29337,0.50808
590,1.29289,0.518
591,1.29247,0.52825
592,1.29224,0.53932
593,1.2921,0.55071
594,1.2921,0.56258
595,1.29236,0.57495
596,1.29277,0.58754
597,1.29348,0.6005
598,1.29446,0.61366
599,1.29563,0.62693
600,1.29727,0.64036
601,1.29914,0.6538
602,1.30129,0.66725
603,1.30389,0.6806
604,1.30672,0.69387
605,1.30994,0.70696
606,1.31352,0.7198
607,1.31733,0.7325
608,1.32162,0.74475
609,1.32617,0.75673
610,1.33098,0.76842
611,1.33624,0.77951
612,1.34171,0.79031
613,1.3475,0.80058
614,1.35364,0.81027
615,1.35997,0.8196
616,1.36668,0.82817
617,1.37364,0.83621
618,1.38079,0.84381
619,1.38834,0.85044
620,1.39607,0.85664
621,1.40406,0.86216
622,1.41236,0.86682
623,1.42083,0.87102
624,1.42962,0.87433
625,1.43861,0.87709
626,1.44775,0.87947
627,1.4572,0.88108
628,1.46676,0.88244
629,1.47648,0.88344
630,1.48639,0.88405
631,1.4964,0.8845
632,1.50656,0.88469
633,1.51683,0.88475
634,1.52717,0.88474
635,1.53763,0.88465
636,1.54814,0.88458
637,1.5587,0.88452
638,1.56932,0.88459
639,1.57996,0.88475
640,1.59062,0.88508
641,1.60128,0.88565
642,1.61193,0.88637
643,1.62255,0.88746
644,1.63314,0.88882
645,1.64369,0.89042
646,1.65416,0.89257
647,1.66457,0.89498
