Wavelength (nm),IT2Cl_n,IT2Cl_k
564,1.18444,0.30618
565,1.17917,0.31326
566,1.17386,0.32049
567,1.1685,0.32792
568,1.16306,0.33566
569,1.15759,0.34356
570,1.15208,0.35176
571,1.14657,0.36024
572,1.14106,0.36889
573,1.1356,0.37797
574,1.13018,0.38727
575,1.12481,0.39682
576,1.11958,0.40682
577,1.11444,0.41702
578,1.10944,0.42757
579,1.10462,0.4385
580,1.09993,0.44963
581,1.09552,0.46122
582,1.09131,0.47308
583,1.08727,0.48517
584,1.08365,0.49769
585,1.08023,0.51037
586,1.07713,0.5233
587,1.07444,0.53649
588,1.07197,0.5498
589,1.06998,0.56334
590,1.06834,0.57699
591,1.06696,0.59074
592,1.0662,0.60463
593,1.0657,0.61855
594,1.06559,0.63253
595,1.06601,0.64653
596,1.0667,0.66054
597,1.06788,0.67453
598,1.06943,0.68852
599,1.07122,0.7025
600,1.07354,0.71644
601,1.07609,0.73036
602,1.07891,0.74426
603,1.08214,0.75813
604,1.08555,0.77197
605,1.08927,0.78577
606,1.09326,0.79954
607,1.09741,0.81329
608,1.10188,0.82699
609,1.10652,0.84067
610,1.11132,0.85432
611,1.11641,0.86792
612,1.12165,0.88149
613,1.12715,0.89501
614,1.13295,0.90847
615,1.13892,0.92188
616,1.1453,0.93519
617,1.15195,0.94843
618,1.15883,0.96161
619,1.16621,0.97465
620,1.17382,0.98763
621,1.18178,1.0005
622,1.1902,1.01323
623,1.19885,1.02588
624,1.208,1.03839
625,1.21752,1.05077
626,1.22729,1.06307
627,1.23766,1.07512
628,1.24826,1.08703
629,1.25919,1.09876
630,1.27054,1.11015
631,1.2821,1.12137
632,1.29402,1.13224
633,1.30623,1.14278
634,1.31862,1.1531
635,1.33139,1.1629
636,1.34435,1.17241
637,1.3575,1.18159
638,1.37097,1.19022
639,1.38458,1.19856
640,1.39843,1.20643
641,1.41249,1.2138
642,1.42668,1.22087
643,1.4411,1.22731
644,1.4556,1.23339
645,1.47018,1.23913
646,1.48481,1.24423
647,1.49944,1.24907
648,1.51403,1.25347
649,1.52854,1.25738
650,1.54298,1.26103
651,1.55725,1.26416
652,1.57136,1.26692
653,1.58536,1.26942
654,1.59901,1.27131
655,1.61249,1.27295
656,1.62573,1.27423
657,1.63859,1.275
658,1.65125,1.27553
659,1.6635,1.27558
660,1.67541,1.27529
661,1.68709,1.27477
662,1.69829,1.27386
663,1.70926,1.2728
664,1.71996,1.27157
665,1.73023,1.27018
666,1.74032,1.26874
667,1.75007,1.26724
668,1.7595,1.26575
669,1.76875,1.26429
670,1.77759,1.26293
671,1.78621,1.26168
672,1.79461,1.26053
673,1.80259,1.25966
674,1.8104,1.25895
675,1.81792,1.2585
676,1.82511,1.2584
677,1.83213,1.25852
678,1.8388,1.25907
679,1.84529,1.25995
680,1.85165,1.26105
681,1.85782,1.26269
682,1.86395,1.26456
683,1.87004,1.26674
684,1.87615,1.26937
685,1.88229,1.27222
686,1.88853,1.27548
