Wavelength (nm),DPO_n,DPO_k
630,1.56939,0.01195
631,1.56918,0.0119
632,1.56897,0.01185
633,1.56876,0.0118
634,1.56855,0.01176
635,1.56834,0.01171
636,1.56813,0.01166
637,1.56792,0.01162
638,1.56772,0.01157
639,1.56752,0.01153
640,1.56731,0.01148
641,1.56711,0.01144
642,1.56691,0.01139
643,1.56671,0.01135
644,1.56651,0.01131
645,1.56631,0.01126
646,1.56611,0.01122
647,1.56592,0.01118
648,1.56572,0.01113
649,1.56553,0.01109
650,1.56533,0.01105
651,1.56514,0.01101
652,1.56495,0.01097
653,1.56476,0.01093
654,1.56456,0.01089
655,1.56438,0.01085
656,1.56419,0.01081
657,1.564,0.01077
658,1.56381,0.01073
659,1.56363,0.01069
660,1.56344,0.01065
661,1.56326,0.01061
662,1.56307,0.01057
663,1.56289,0.01053
664,1.56271,0.01049
665,1.56253,0.01045
666,1.56235,0.01042
667,1.56217,0.01038
668,1.56199,0.01034
669,1.56181,0.01031
670,1.56163,0.01027
671,1.56146,0.01023
672,1.56128,0.0102
673,1.56111,0.01016
674,1.56093,0.01013
675,1.56076,0.01009
676,1.56059,0.01006
677,1.56042,0.01002
678,1.56024,0.00999
679,1.56007,0.00995
680,1.55991,0.00992
681,1.55974,0.00988
682,1.55957,0.00985
683,1.5594,0.00981
684,1.55923,0.00978
685,1.55907,0.00975
686,1.5589,0.00971
687,1.55874,0.00968
688,1.55858,0.00965
689,1.55841,0.00962
690,1.55825,0.00958
691,1.55809,0.00955
692,1.55793,0.00952
693,1.55777,0.00949
694,1.55761,0.00946
695,1.55745,0.00943
696,1.55729,0.0094
697,1.55714,0.00937
698,1.55698,0.00933
699,1.55682,0.0093
700,1.55667,0.00927
701,1.55651,0.00924
702,1.55636,0.00921
703,1.55621,0.00918
704,1.55605,0.00915
705,1.5559,0.00912
706,1.55575,0.0091
707,1.5556,0.00907
708,1.55545,0.00904
709,1.5553,0.00901
710,1.55515,0.00898
711,1.555,0.00895
712,1.55486,0.00892
713,1.55471,0.0089
714,1.55456,0.00887
715,1.55442,0.00884
716,1.55427,0.00881
717,1.55413,0.00878
718,1.55398,0.00876
719,1.55384,0.00873
720,1.5537,0.0087
721,1.55356,0.00868
722,1.55341,0.00865
723,1.55327,0.00862
724,1.55313,0.0086
725,1.55299,0.00857
726,1.55285,0.00855
727,1.55272,0.00852
728,1.55258,0.0085
729,1.55244,0.00847
730,1.5523,0.00844
731,1.55217,0.00842
732,1.55203,0.00839
733,1.5519,0.00837
734,1.55176,0.00834
735,1.55163,0.00832
736,1.55149,0.00829
737,1.55136,0.00827
738,1.55123,0.00825
739,1.5511,0.00822
740,1.55096,0.0082
741,1.55083,0.00817
742,1.5507,0.00815
743,1.55057,0.00813
744,1.55044,0.0081
745,1.55032,0.00808
746,1.55019,0.00806
747,1.55006,0.00803
748,1.54993,0.00801
749,1.54981,0.00799
750,1.54968,0.00797
751,1.54955,0.00794
752,1.54943,0.00792
753,1.5493,0.0079
754,1.54918,0.00788
755,1.54906,0.00785
756,1.54893,0.00783
757,1.54881,0.00781
758,1.54869,0.00779
759,1.54857,0.00777
760,1.54844,0.00775
761,1.54832,0.00772
762,1.5482,0.0077
763,1.54808,0.00768
764,1.54796,0.00766
765,1.54784,0.00764
766,1.54773,0.00762
767,1.54761,0.0076
768,1.54749,0.00758
769,1.54737,0.00756
770,1.54726,0.00754
771,1.54714,0.00752
772,1.54703,0.0075
773,1.54691,0.00748
774,1.5468,0.00746
775,1.54668,0.00744
776,1.54657,0.00742
777,1.54645,0.0074
778,1.54634,0.00738
779,1.54623,0.00736
780,1.54612,0.00734
781,1.546,0.00732
782,1.54589,0.0073
783,1.54578,0.00728
784,1.54567,0.00726
