Wavelength (nm),glass_n,glass_k
653,1.51443,0
654,1.5144,0
655,1.51436,0
656,1.51433,0
657,1.5143,0
658,1.51427,0
659,1.51424,0
660,1.51421,0
661,1.51417,0
662,1.51414,0
663,1.51411,0
664,1.51408,0
665,1.51405,0
666,1.51402,0
667,1.51399,0
668,1.51396,0
669,1.51394,0
670,1.51391,0
671,1.51388,0
672,1.51385,0
673,1.51382,0
674,1.51379,0
675,1.51376,0
676,1.51373,0
677,1.5137,0
678,1.51367,0
679,1.51364,0
680,1.51361,0
681,1.51359,0
682,1.51356,0
683,1.51353,0
684,1.5135,0
685,1.51347,0
686,1.51344,0
687,1.51341,0
688,1.51339,0
689,1.51336,0
690,1.51334,0
691,1.51331,0
692,1.51328,0
693,1.51325,0
694,1.51323,0
695,1.5132,0
696,1.51317,0
697,1.51315,0
698,1.51312,0
699,1.51309,0
700,1.51306,0
701,1.51303,0
702,1.51301,0
703,1.51298,0
704,1.51296,0
705,1.51293,0
706,1.5129,0
707,1.51288,0
708,1.51286,0
709,1.51284,0
710,1.51282,0
711,1.51279,0
712,1.51277,0
713,1.51275,0
714,1.51273,0
715,1.51271,0
716,1.51269,0
717,1.51267,0
718,1.51265,0
719,1.51262,0
720,1.5126,0
721,1.51258,0
722,1.51256,0
723,1.51254,0
724,1.51252,0
725,1.5125,0
726,1.51248,0
727,1.51245,0
728,1.51243,0
729,1.51241,0
730,1.51239,0
731,1.51237,0
732,1.51235,0
733,1.51233,0
734,1.51231,0
735,1.51229,0
736,1.51226,0
737,1.51224,0
738,1.51222,0
739,1.5122,0
740,1.51218,0
741,1.51216,0
742,1.51214,0
743,1.51212,0
744,1.51209,0
745,1.51207,0
746,1.51205,0
747,1.51203,0
748,1.51201,0
749,1.51199,0
750,1.51197,0
751,1.51195,0
752,1.51192,0
753,1.5119,0
754,1.51188,0
755,1.51186,0
756,1.51184,0
757,1.51182,0
758,1.5118,0
759,1.51178,0
760,1.51175,0
761,1.51173,0
762,1.51171,0
763,1.51169,0
764,1.51167,0
765,1.51165,0
766,1.51163,0
767,1.51161,0
768,1.51158,0
769,1.51156,0
770,1.51154,0
771,1.51152,0
772,1.5115,0
773,1.51148,0
774,1.51146,0
775,1.51144,0
776,1.51142,0
777,1.51139,0
778,1.51137,0
779,1.51135,0
780,1.51133,0
781,1.51131,0
782,1.51129,0
783,1.51127,0
784,1.51125,0
785,1.51122,0
786,1.5112,0
787,1.51118,0
788,1.51116,0
789,1.51114,0
790,1.51112,0
791,1.5111,0
792,1.51108,0
793,1.51105,0
794,1.51103,0
795,1.51101,0
796,1.51099,0
797,1.51097,0
798,1.51095,0
799,1.51093,0
800,1.51091,0
801,1.51088,0
802,1.51086,0
803,1.51084,0
804,1.51082,0
805,1.5108,0
806,1.51078,0
807,1.51076,0
808,1.51074,0
809,1.51071,0
810,1.51069,0
811,1.51067,0
812,1.51065,0
813,1.51063,0
814,1.51061,0
815,1.51059,0
816,1.51057,0
817,1.51054,0
818,1.51052,0
819,1.5105,0
820,1.51048,0
821,1.51046,0
822,1.51044,0
823,1.51042,0
824,1.5104,0
825,1.51038,0
826,1.51035,0
827,1.51033,0
828,1.51031,0
829,1.51029,0
830,1.51027,0
831,1.51025,0
832,1.51023,0
833,1.51021,0
834,1.51018,0
835,1.51016,0
836,1.51014,0
837,1.51012,0
838,1.5101,0
839,1.51008,0
840,1.51006,0
841,1.51004,0
842,1.51001,0
843,1.50999,0
844,1.50997,0
845,1.50995,0
846,1.50993,0
847,1.50991,0
848,1.50989,0
849,1.50987,0
850,1.50984,0
851,1.50982,0
852,1.5098,0
853,1.50979,0
854,1.50977,0
855,1.50976,0
856,1.50974,0
857,1.50972,0
858,1.50971,0
859,1.50969,0
860,1.50968,0
861,1.50966,0
862,1.50965,0
863,1.50963,0
864,1.50962,0
865,1.5096,0
866,1.50959,0
867,1.50957,0
868,1.50956,0
869,1.50954,0
870,1.50952,0
