Wavelength (nm),SpiroOMeTAD_n,SpiroOMeTAD_k
777,1.62621,0.00798
778,1.62613,0.00799
779,1.62605,0.00801
780,1.62597,0.00803
781,1.62589,0.00805
782,1.62582,0.00807
783,1.62574,0.00809
784,1.62567,0.00811
785,1.62559,0.00813
786,1.62552,0.00815
787,1.62544,0.00817
788,1.62536,0.00819
789,1.62529,0.00821
790,1.62521,0.00823
791,1.62514,0.00825
792,1.62506,0.00827
793,1.62499,0.00829
794,1.62492,0.00831
795,1.62484,0.00833
796,1.62477,0.00835
797,1.6247,0.00837
798,1.62462,0.00839
799,1.62455,0.00841
800,1.62448,0.00843
801,1.62441,0.00845
802,1.62433,0.00847
803,1.62426,0.00849
804,1.62419,0.00851
805,1.62412,0.00853
806,1.62405,0.00855
807,1.62398,0.00857
808,1.6239,0.00859
809,1.62383,0.00861
810,1.62376,0.00863
811,1.62369,0.00865
812,1.62362,0.00868
813,1.62355,0.0087
814,1.62348,0.00872
815,1.62341,0.00874
816,1.62334,0.00876
817,1.62327,0.00878
818,1.6232,0.0088
819,1.62313,0.00882
820,1.62306,0.00884
821,1.62299,0.00886
822,1.62292,0.00889
823,1.62285,0.00891
824,1.62279,0.00893
825,1.62272,0.00895
826,1.62265,0.00897
827,1.62258,0.00899
828,1.62251,0.00901
829,1.62244,0.00903
830,1.62237,0.00906
831,1.62231,0.00908
832,1.62224,0.0091
833,1.62217,0.00912
834,1.6221,0.00914
835,1.62203,0.00917
836,1.62197,0.00919
837,1.6219,0.00921
838,1.62183,0.00923
839,1.62176,0.00925
840,1.62169,0.00928
841,1.62163,0.0093
842,1.62156,0.00932
843,1.62149,0.00934
844,1.62143,0.00937
845,1.62136,0.00939
846,1.62129,0.00941
847,1.62123,0.00944
848,1.62116,0.00946
849,1.62109,0.00948
850,1.62102,0.0095
851,1.62096,0.00953
852,1.62089,0.00955
853,1.62082,0.00957
854,1.62076,0.0096
855,1.62069,0.00962
856,1.62062,0.00964
857,1.62056,0.00967
858,1.62049,0.00969
859,1.62042,0.00972
860,1.62036,0.00974
861,1.62029,0.00976
862,1.62023,0.00979
863,1.62016,0.00981
864,1.62009,0.00984
865,1.62003,0.00986
866,1.61996,0.00989
867,1.61989,0.00991
868,1.61983,0.00993
869,1.61976,0.00996
870,1.6197,0.00998
871,1.61963,0.01001
872,1.61956,0.01003
873,1.6195,0.01006
874,1.61943,0.01009
875,1.61936,0.01011
876,1.6193,0.01014
877,1.61923,0.01016
878,1.61917,0.01019
879,1.6191,0.01021
880,1.61903,0.01024
881,1.61897,0.01026
882,1.6189,0.01029
883,1.61884,0.01032
884,1.61877,0.01034
885,1.6187,0.01037
886,1.61864,0.0104
887,1.61857,0.01042
888,1.61851,0.01045
889,1.61844,0.01048
890,1.61837,0.0105
891,1.61831,0.01053
892,1.61824,0.01056
893,1.61817,0.01059
894,1.61811,0.01061
895,1.61804,0.01064
896,1.61797,0.01067
897,1.61791,0.0107
898,1.61784,0.01073
899,1.61778,0.01075
900,1.61771,0.01078
