Wavelength (nm),aSi_n,aSi_k
613,4.48,0.951
614,4.46,0.9395
615,4.44,0.928
616,4.44,0.921
617,4.44,0.914
618,4.44,0.903
619,4.44,0.892
620,4.44,0.88767
621,4.425,0.88333
622,4.41,0.879
623,4.405,0.867
624,4.4,0.855
625,4.4,0.8495
626,4.4,0.844
627,4.4,0.834
628,4.4,0.824
629,4.4,0.81967
630,4.4,0.81533
631,4.4,0.811
632,4.4,0.8015
633,4.4,0.792
634,4.3867,0.7835
635,4.3733,0.775
636,4.36,0.7685
637,4.36,0.762
638,4.36,0.758
639,4.36,0.754
640,4.36,0.75
641,4.36,0.744
642,4.36,0.738
643,4.36,0.7295
644,4.36,0.721
645,4.36,0.7115
646,4.36,0.702
647,4.36,0.69667
648,4.36,0.69133
649,4.36,0.686
650,4.36,0.681
651,4.36,0.676
652,4.36,0.6675
653,4.36,0.659
654,4.36,0.65267
655,4.345,0.64633
656,4.33,0.64
657,4.325,0.6365
658,4.32,0.633
659,4.32,0.6235
660,4.32,0.614
661,4.32,0.605
662,4.32,0.596
663,4.32,0.59367
664,4.32,0.59133
665,4.32,0.589
666,4.32,0.58
667,4.32,0.571
668,4.32,0.5635
669,4.32,0.556
670,4.3067,0.5495
671,4.2933,0.543
672,4.28,0.539
673,4.28,0.535
674,4.28,0.531
675,4.28,0.5285
676,4.28,0.526
677,4.28,0.522
678,4.28,0.518
679,4.28,0.509
680,4.28,0.5
681,4.28,0.49633
682,4.28,0.49267
683,4.28,0.489
684,4.27,0.482
685,4.26,0.475
686,4.2533,0.4705
687,4.2467,0.466
688,4.24,0.461
689,4.24,0.456
690,4.24,0.45433
691,4.24,0.45267
692,4.24,0.451
693,4.225,0.4445
694,4.21,0.438
695,4.2067,0.4345
696,4.2033,0.431
697,4.2,0.4235
698,4.2,0.416
699,4.2,0.41267
700,4.2,0.40933
701,4.2,0.406
702,4.2,0.401
703,4.2,0.396
704,4.2,0.3915
705,4.2,0.387
706,4.2,0.38433
707,4.2,0.38167
708,4.2,0.379
709,4.2,0.3735
710,4.2,0.368
711,4.1867,0.3625
712,4.1733,0.357
713,4.16,0.352
714,4.14,0.347
715,4.12,0.34333
716,4.12,0.33967
717,4.12,0.336
718,4.12,0.331
719,4.12,0.326
720,4.12,0.3215
721,4.12,0.317
722,4.12,0.3135
723,4.12,0.31
724,4.12,0.309
725,4.12,0.308
726,4.12,0.307
727,4.105,0.3025
728,4.09,0.298
729,4.0867,0.293
730,4.0833,0.288
731,4.08,0.2815
732,4.08,0.275
733,4.08,0.273
734,4.08,0.271
735,4.08,0.269
736,4.08,0.2665
737,4.08,0.264
738,4.08,0.26
739,4.08,0.256
740,4.08,0.252
741,4.06,0.248
742,4.04,0.24567
743,4.04,0.24333
744,4.04,0.241
745,4.0333,0.2365
746,4.0267,0.232
747,4.02,0.2285
748,4.01,0.225
749,4,0.2215
750,4,0.218
751,4,0.21667
752,4,0.21533
753,4,0.214
754,4,0.2115
755,4,0.209
756,4,0.206
757,4,0.203
758,4,0.2
759,4,0.197
760,4,0.195
761,4,0.193
762,4,0.191
763,3.9967,0.1875
764,3.9933,0.184
765,3.99,0.1805
766,3.98,0.177
767,3.97,0.175
768,3.97,0.173
769,3.97,0.171
