Wavelength (nm),ZnONPVLC_n,ZnONPVLC_k
617,1.64369,0
618,1.64358,0
619,1.64347,0
620,1.64336,0
621,1.64325,0
622,1.64314,0
623,1.64303,0
624,1.64292,0
625,1.64281,0
626,1.6427,0
627,1.64259,0
628,1.64248,0
629,1.64236,0
630,1.64225,0
631,1.64214,0
632,1.64203,0
633,1.64192,0
634,1.64181,0
635,1.6417,0
636,1.6416,0
637,1.64149,0
638,1.64138,0
639,1.64127,0
640,1.64117,0
641,1.64106,0
642,1.64096,0
643,1.64086,0
644,1.64075,0
645,1.64065,0
646,1.64055,0
647,1.64045,0
648,1.64035,0
649,1.64026,0
650,1.64016,0
651,1.64006,0
652,1.63997,0
653,1.63988,0
654,1.63979,0
655,1.6397,0
656,1.63961,0
657,1.63952,0
658,1.63944,0
659,1.63935,0
660,1.63927,0
661,1.63919,0
662,1.63911,0
663,1.63903,0
664,1.63895,0
665,1.63888,0
666,1.6388,0
667,1.63873,0
668,1.63865,0
669,1.63858,0
670,1.63851,0
671,1.63844,0
672,1.63837,0
673,1.6383,0
674,1.63824,0
675,1.63817,0
676,1.63811,0
677,1.63804,0
678,1.63798,0
679,1.63791,0
680,1.63785,0
681,1.63779,0
682,1.63773,0
683,1.63767,0
684,1.63761,0
685,1.63755,0
686,1.63749,0
687,1.63743,0
688,1.63737,0
689,1.63732,0
690,1.63726,0
691,1.6372,0
692,1.63715,0
693,1.63709,0
694,1.63704,0
695,1.63698,0
696,1.63693,0
697,1.63687,0
698,1.63682,0
699,1.63677,0
700,1.63671,0
701,1.63666,0
702,1.63661,0
703,1.63655,0
704,1.6365,0
705,1.63645,0
706,1.63639,0
707,1.63634,0
708,1.63629,0
709,1.63623,0
710,1.63618,0
711,1.63612,0
712,1.63607,0
713,1.63601,0
714,1.63596,0
715,1.6359,0
716,1.63585,0
717,1.63579,0
718,1.63573,0
719,1.63568,0
720,1.63562,0
721,1.63556,0
722,1.6355,0
723,1.63544,0
724,1.63538,0
725,1.63532,0
726,1.63526,0
727,1.6352,0
728,1.63514,0
729,1.63507,0
730,1.63501,0
731,1.63494,0
732,1.63488,0
733,1.63481,0
734,1.63474,0
735,1.63467,0
736,1.6346,0
737,1.63453,0
738,1.63446,0
739,1.63439,0
740,1.63432,0
741,1.63425,0
742,1.63417,0
743,1.6341,0
744,1.63402,0
745,1.63395,0
746,1.63387,0
747,1.6338,0
748,1.63372,0
749,1.63364,0
750,1.63357,0
751,1.63349,0
752,1.63341,0
753,1.63334,0
754,1.63326,0
755,1.63318,0
756,1.63311,0
757,1.63303,0
758,1.63296,0
759,1.63288,0
760,1.63281,0
761,1.63273,0
762,1.63266,0
763,1.63259,0
764,1.63251,0
765,1.63244,0
766,1.63237,0
767,1.6323,0
768,1.63223,0
769,1.63216,0
770,1.63209,0
771,1.63202,0
772,1.63196,0
773,1.63189,0
774,1.63183,0
775,1.63176,0
776,1.6317,0
777,1.63164,0
778,1.63158,0
779,1.63152,0
780,1.63146,0
781,1.6314,0
782,1.63135,0
783,1.63129,0
784,1.63124,0
785,1.63119,0
786,1.63114,0
787,1.63109,0
788,1.63104,0
789,1.63099,0
790,1.63094,0
791,1.6309,0
792,1.63086,0
793,1.63081,0
794,1.63077,0
795,1.63073,0
796,1.63069,0
797,1.63065,0
798,1.63061,0
799,1.63057,0
800,1.63054,0
