Wavelength (nm),C60Tejas_n,C60Tejas_k
566,2.19976,0
567,2.19843,0
568,2.19716,0
569,2.19589,0
570,2.19466,0
571,2.19346,0
572,2.1923,0
573,2.19116,0
574,2.19006,0
575,2.18893,0
576,2.18785,0
577,2.18677,0
578,2.18569,0
579,2.18462,0
580,2.18352,0
581,2.18245,0
582,2.18136,0
583,2.1803,0
584,2.17925,0
585,2.17816,0
586,2.17711,0
587,2.17607,0
588,2.17501,0
589,2.17395,0
590,2.17288,0
591,2.17186,0
592,2.17085,0
593,2.16983,0
594,2.16883,0
595,2.16784,0
596,2.16687,0
597,2.16596,0
598,2.16507,0
599,2.16423,0
600,2.16339,0
601,2.16261,0
602,2.16184,0
603,2.16111,0
604,2.16044,0
605,2.15981,0
606,2.15926,0
607,2.15877,0
608,2.15827,0
609,2.15781,0
610,2.15742,0
611,2.15705,0
612,2.15674,0
613,2.15643,0
614,2.15611,0
615,2.15583,0
616,2.15557,0
617,2.15531,0
618,2.15501,0
619,2.15472,0
620,2.15445,0
621,2.15411,0
622,2.15378,0
623,2.15339,0
624,2.15296,0
625,2.15268,0
626,2.15236,0
627,2.15199,0
628,2.15156,0
629,2.15109,0
630,2.15054,0
631,2.14998,0
632,2.14937,0
633,2.14872,0
634,2.14805,0
635,2.14732,0
636,2.14655,0
637,2.14575,0
638,2.14492,0
639,2.14407,0
640,2.14321,0
641,2.14232,0
642,2.14141,0
643,2.14048,0
644,2.13957,0
645,2.13865,0
646,2.13771,0
647,2.13677,0
648,2.13581,0
649,2.13486,0
650,2.1339,0
651,2.13294,0
652,2.132,0
653,2.13107,0
654,2.13014,0
655,2.12925,0
656,2.12833,0
657,2.12741,0
658,2.12651,0
659,2.12561,0
660,2.12469,0
661,2.12379,0
662,2.12288,0
663,2.12198,0
664,2.12107,0
665,2.12017,0
666,2.1193,0
667,2.11844,0
668,2.11759,0
669,2.11674,0
670,2.11592,0
671,2.11508,0
672,2.11424,0
673,2.11344,0
674,2.11266,0
675,2.11188,0
676,2.11113,0
677,2.11039,0
678,2.10967,0
679,2.10895,0
680,2.10822,0
681,2.10749,0
682,2.10674,0
683,2.10598,0
684,2.10522,0
685,2.10446,0
686,2.10367,0
687,2.10285,0
688,2.10212,0
689,2.10153,0
690,2.10078,0
691,2.09998,0
692,2.0992,0
693,2.09842,0
694,2.09761,0
695,2.09685,0
696,2.09607,0
697,2.09527,0
698,2.09446,0
699,2.09366,0
700,2.09283,0
701,2.09203,0
702,2.09121,0
703,2.0904,0
704,2.08961,0
705,2.08885,0
706,2.08809,0
707,2.08735,0
708,2.08662,0
709,2.08588,0
710,2.08514,0
711,2.08442,0
712,2.08369,0
713,2.08299,0
714,2.0823,0
715,2.08162,0
716,2.08099,0
717,2.08036,0
718,2.07975,0
719,2.07913,0
720,2.07852,0
721,2.07796,0
722,2.07739,0
723,2.07681,0
724,2.07621,0
725,2.07564,0
726,2.07508,0
727,2.0745,0
728,2.07396,0
729,2.07343,0
730,2.0729,0
731,2.07235,0
732,2.07183,0
733,2.07127,0
734,2.07073,0
735,2.07017,0
736,2.06965,0
737,2.06913,0
738,2.06859,0
739,2.06807,0
740,2.06751,0
741,2.067,0
742,2.06648,0
743,2.06598,0
744,2.06546,0
745,2.06493,0
746,2.0644,0
747,2.06382,0
748,2.06328,0
749,2.06279,0
750,2.06226,0
751,2.06175,0
752,2.06127,0
753,2.06077,0
754,2.06026,0
755,2.05973,0
756,2.05921,0
757,2.05869,0
758,2.05819,0
759,2.05773,0
760,2.05721,0
761,2.0567,0
762,2.05623,0
763,2.05575,0
764,2.05526,0
765,2.05482,0
766,2.05437,0
767,2.05398,0
768,2.05363,0
769,2.05322,0
770,2.05279,0
771,2.05237,0
772,2.05198,0
773,2.05156,0
774,2.05115,0
775,2.05073,0
776,2.05033,0
777,2.04995,0
778,2.04961,0
779,2.04929,0
780,2.04897,0
781,2.04862,0
782,2.04826,0
783,2.04784,0
784,2.04753,0
785,2.04721,0
786,2.04687,0
787,2.04655,0
788,2.0462,0
789,2.04589,0
790,2.04555,0
791,2.04525,0
792,2.04496,0
793,2.04464,0
794,2.04431,0
795,2.04399,0
796,2.04369,0
797,2.04334,0
798,2.04298,0
799,2.04266,0
800,2.04234,0
801,2.04205,0
802,2.04174,0
803,2.04141,0
804,2.04107,0
805,2.04081,0
806,2.04051,0
807,2.04022,0
808,2.03994,0
809,2.03965,0
810,2.03936,0
811,2.03907,0
812,2.03881,0
813,2.03858,0
814,2.0383,0
815,2.03803,0
816,2.0378,0
817,2.03753,0
818,2.03728,0
819,2.03703,0
820,2.03678,0
821,2.03653,0
822,2.03631,0
823,2.03605,0
824,2.03577,0
825,2.03556,0
826,2.03532,0
827,2.03508,0
828,2.03485,0
829,2.03465,0
830,2.03438,0
831,2.03415,0
832,2.0339,0
833,2.03362,0
834,2.03333,0
835,2.03307,0
836,2.03278,0
837,2.0325,0
838,2.03223,0
839,2.03193,0
840,2.03164,0
841,2.03133,0
842,2.03103,0
843,2.03072,0
844,2.03039,0
845,2.03008,0
846,2.02978,0
847,2.02947,0
848,2.02928,0
849,2.029,0
850,2.02871,0
851,2.02849,0
852,2.02822,0
853,2.02799,0
854,2.02778,0
855,2.0276,0
856,2.02741,0
857,2.02718,0
858,2.02695,0
859,2.02676,0
860,2.02654,0
861,2.02632,0
862,2.02609,0
863,2.02592,0
864,2.02575,0
865,2.02554,0
866,2.02531,0
867,2.02504,0
868,2.02476,0
869,2.0245,0
870,2.02419,0
871,2.02388,0
872,2.02359,0
873,2.02332,0
874,2.02303,0
875,2.02273,0
876,2.0224,0
877,2.02208,0
878,2.02174,0
879,2.0214,0
880,2.02111,0
881,2.02082,0
882,2.02053,0
883,2.02024,0
884,2.01992,0
885,2.0196,0
886,2.01936,0
887,2.01905,0
888,2.0188,0
889,2.01858,0
890,2.0183,0
891,2.01802,0
892,2.01779,0
893,2.01759,0
894,2.01734,0
895,2.01713,0
896,2.01691,0
897,2.01667,0
898,2.01647,0
899,2.01623,0
900,2.01594,0
900,0.13499,2.38153
