Wavelength (nm),MoOx5nmVLC_n,MoOx5nmVLC_k
651,1.62628,0
652,1.62622,0
653,1.62615,0
654,1.62608,0
655,1.62601,0
656,1.62595,0
657,1.62588,0
658,1.62581,0
659,1.62575,0
660,1.62568,0
661,1.62562,0
662,1.62555,0
663,1.62549,0
664,1.62543,0
665,1.62536,0
666,1.6253,0
667,1.62524,0
668,1.62517,0
669,1.62511,0
670,1.62505,0
671,1.62499,0
672,1.62493,0
673,1.62487,0
674,1.62481,0
675,1.62475,0
676,1.62469,0
677,1.62463,0
678,1.62457,0
679,1.62451,0
680,1.62445,0
681,1.62439,0
682,1.62433,0
683,1.62428,0
684,1.62422,0
685,1.62416,0
686,1.6241,0
687,1.62405,0
688,1.62399,0
689,1.62394,0
690,1.62388,0
691,1.62383,0
692,1.62377,0
693,1.62372,0
694,1.62366,0
695,1.62361,0
696,1.62355,0
697,1.6235,0
698,1.62345,0
699,1.62339,0
700,1.62334,0
701,1.62329,0
702,1.62324,0
703,1.62318,0
704,1.62313,0
705,1.62308,0
706,1.62303,0
707,1.62298,0
708,1.62293,0
709,1.62288,0
710,1.62283,0
711,1.62278,0
712,1.62273,0
713,1.62268,0
714,1.62263,0
715,1.62258,0
716,1.62253,0
717,1.62249,0
718,1.62244,0
719,1.62239,0
720,1.62234,0
721,1.62229,0
722,1.62225,0
723,1.6222,0
724,1.62215,0
725,1.62211,0
726,1.62206,0
727,1.62201,0
728,1.62197,0
729,1.62192,0
730,1.62188,0
731,1.62183,0
732,1.62179,0
733,1.62174,0
734,1.6217,0
735,1.62165,0
736,1.62161,0
737,1.62157,0
738,1.62152,0
739,1.62148,0
740,1.62144,0
741,1.62139,0
742,1.62135,0
743,1.62131,0
744,1.62127,0
745,1.62122,0
746,1.62118,0
747,1.62114,0
748,1.6211,0
749,1.62106,0
750,1.62102,0
751,1.62097,0
752,1.62093,0
753,1.62089,0
754,1.62085,0
755,1.62081,0
756,1.62077,0
757,1.62073,0
758,1.62069,0
759,1.62065,0
760,1.62061,0
761,1.62058,0
762,1.62054,0
763,1.6205,0
764,1.62046,0
765,1.62042,0
766,1.62038,0
767,1.62035,0
768,1.62031,0
769,1.62027,0
770,1.62023,0
771,1.62019,0
772,1.62016,0
773,1.62012,0
774,1.62008,0
775,1.62005,0
776,1.62001,0
777,1.61997,0
778,1.61994,0
779,1.6199,0
780,1.61987,0
781,1.61983,0
782,1.61979,0
783,1.61976,0
784,1.61972,0
785,1.61969,0
786,1.61965,0
787,1.61962,0
788,1.61959,0
789,1.61955,0
790,1.61952,0
791,1.61948,0
792,1.61945,0
793,1.61941,0
794,1.61938,0
795,1.61935,0
796,1.61931,0
797,1.61928,0
798,1.61925,0
799,1.61921,0
800,1.61918,0
