Wavelength (nm),IDTBR_n,IDTBR_k
565,1.22101,0.53088
566,1.22235,0.53978
567,1.22382,0.54861
568,1.22545,0.55737
569,1.22713,0.5661
570,1.22889,0.57478
571,1.23067,0.58344
572,1.23245,0.59208
573,1.23421,0.60071
574,1.23593,0.60935
575,1.23761,0.618
576,1.23928,0.62671
577,1.24097,0.63544
578,1.24271,0.64425
579,1.24457,0.65316
580,1.24652,0.66213
581,1.24867,0.67124
582,1.25101,0.68046
583,1.25349,0.68976
584,1.25637,0.69927
585,1.25944,0.70888
586,1.26281,0.71863
587,1.2666,0.72857
588,1.27063,0.73861
589,1.27513,0.74884
590,1.27998,0.75916
591,1.28506,0.76955
592,1.29073,0.78004
593,1.29663,0.79055
594,1.30288,0.80108
595,1.30957,0.81159
596,1.31649,0.82208
597,1.32384,0.83252
598,1.33153,0.84288
599,1.33943,0.85319
600,1.34783,0.86336
601,1.35645,0.87343
602,1.36535,0.88339
603,1.37466,0.89313
604,1.38414,0.90273
605,1.39393,0.91203
606,1.40398,0.92098
607,1.41418,0.92971
608,1.42467,0.93786
609,1.43531,0.94565
610,1.44608,0.95307
611,1.45708,0.95973
612,1.46817,0.96603
613,1.47941,0.97172
614,1.49077,0.97668
615,1.5022,0.98122
616,1.51377,0.98485
617,1.52541,0.98788
618,1.53712,0.99041
619,1.54886,0.99202
620,1.56059,0.9933
621,1.57229,0.9941
622,1.58387,0.99446
623,1.59537,0.99462
624,1.60668,0.99446
625,1.61779,0.99417
626,1.62876,0.99379
627,1.63931,0.99334
628,1.64965,0.99292
629,1.65969,0.99255
630,1.66924,0.99234
631,1.67852,0.99225
632,1.68729,0.9924
633,1.69559,0.99284
634,1.7036,0.99346
635,1.71098,0.99444
636,1.71813,0.99557
637,1.72499,0.99688
638,1.73151,0.99841
639,1.73791,1.00003
640,1.74412,1.00177
641,1.75021,1.0036
642,1.75624,1.00547
643,1.76223,1.00739
644,1.76826,1.00931
645,1.77431,1.01124
646,1.78052,1.01312
647,1.78682,1.01496
648,1.79328,1.01674
649,1.8,1.01841
650,1.80688,1.02002
651,1.81409,1.0215
652,1.82156,1.02292
653,1.82922,1.02429
