Wavelength (nm),aZnOVLC_n,aZnOVLC_k
610,1.63747,0
611,1.63733,0
612,1.6372,0
613,1.63706,0
614,1.63693,0
615,1.63679,0
616,1.63666,0
617,1.63652,0
618,1.63639,0
619,1.63626,0
620,1.63612,0
621,1.63599,0
622,1.63586,0
623,1.63573,0
624,1.6356,0
625,1.63546,0
626,1.63533,0
627,1.6352,0
628,1.63507,0
629,1.63494,0
630,1.63481,0
631,1.63468,0
632,1.63455,0
633,1.63442,0
634,1.63429,0
635,1.63417,0
636,1.63404,0
637,1.63392,0
638,1.63379,0
639,1.63367,0
640,1.63355,0
641,1.63343,0
642,1.63331,0
643,1.63319,0
644,1.63307,0
645,1.63295,0
646,1.63284,0
647,1.63273,0
648,1.63262,0
649,1.63251,0
650,1.6324,0
651,1.63229,0
652,1.63218,0
653,1.63208,0
654,1.63198,0
655,1.63188,0
656,1.63178,0
657,1.63168,0
658,1.63159,0
659,1.63149,0
660,1.6314,0
661,1.63131,0
662,1.63122,0
663,1.63114,0
664,1.63105,0
665,1.63097,0
666,1.63089,0
667,1.63081,0
668,1.63073,0
669,1.63065,0
670,1.63058,0
671,1.6305,0
672,1.63043,0
673,1.63036,0
674,1.63029,0
675,1.63022,0
676,1.63016,0
677,1.63009,0
678,1.63003,0
679,1.62996,0
680,1.6299,0
681,1.62984,0
682,1.62978,0
683,1.62973,0
684,1.62967,0
685,1.62961,0
686,1.62956,0
687,1.62951,0
688,1.62945,0
689,1.6294,0
690,1.62935,0
691,1.6293,0
692,1.62926,0
693,1.62921,0
694,1.62916,0
695,1.62912,0
696,1.62908,0
697,1.62903,0
698,1.62899,0
699,1.62895,0
700,1.62891,0
701,1.62887,0
702,1.62883,0
703,1.62879,0
704,1.62875,0
705,1.62871,0
706,1.62867,0
707,1.62863,0
708,1.62859,0
709,1.62855,0
710,1.62851,0
711,1.62847,0
712,1.62843,0
713,1.62839,0
714,1.62835,0
715,1.62831,0
716,1.62826,0
717,1.62822,0
718,1.62818,0
719,1.62813,0
720,1.62808,0
721,1.62804,0
722,1.62799,0
723,1.62794,0
724,1.62789,0
725,1.62784,0
726,1.62779,0
727,1.62773,0
728,1.62768,0
729,1.62762,0
730,1.62756,0
731,1.6275,0
732,1.62744,0
733,1.62738,0
734,1.62732,0
735,1.62725,0
736,1.62718,0
737,1.62711,0
738,1.62704,0
739,1.62697,0
740,1.62689,0
741,1.62682,0
742,1.62674,0
743,1.62666,0
744,1.62658,0
745,1.6265,0
746,1.62642,0
747,1.62634,0
748,1.62626,0
749,1.62617,0
750,1.62609,0
751,1.626,0
752,1.62592,0
753,1.62583,0
754,1.62574,0
755,1.62566,0
756,1.62557,0
757,1.62548,0
758,1.6254,0
759,1.62531,0
760,1.62522,0
761,1.62513,0
762,1.62505,0
763,1.62496,0
764,1.62487,0
765,1.62479,0
766,1.6247,0
767,1.62462,0
768,1.62453,0
769,1.62445,0
770,1.62437,0
771,1.62428,0
772,1.6242,0
773,1.62412,0
774,1.62404,0
775,1.62396,0
776,1.62388,0
777,1.62381,0
778,1.62373,0
779,1.62366,0
780,1.62358,0
781,1.62351,0
782,1.62344,0
783,1.62337,0
784,1.6233,0
785,1.62324,0
786,1.62317,0
787,1.62311,0
788,1.62304,0
789,1.62298,0
790,1.62292,0
791,1.62286,0
792,1.6228,0
793,1.62275,0
794,1.62269,0
795,1.62263,0
796,1.62258,0
797,1.62252,0
798,1.62247,0
799,1.62242,0
800,1.62237,0
