Wavelength (nm),peroTripleCatMartin_n,peroTripleCatMartin_k
564,2.53396,0.44443
565,2.53292,0.44311
566,2.53193,0.44158
567,2.53103,0.44034
568,2.53012,0.439
569,2.52937,0.43802
570,2.52868,0.43716
571,2.52822,0.43638
572,2.52766,0.43499
573,2.52742,0.43395
574,2.52747,0.4331
575,2.52751,0.43222
576,2.52757,0.43057
577,2.52758,0.42905
578,2.5276,0.42794
579,2.52787,0.42657
580,2.52803,0.42513
581,2.5282,0.42363
582,2.52855,0.42213
583,2.52888,0.42077
584,2.52923,0.41903
585,2.52987,0.41758
586,2.53046,0.41586
587,2.53131,0.4139
588,2.53202,0.41191
589,2.53276,0.4098
590,2.53355,0.40739
591,2.53438,0.40534
592,2.5352,0.4035
593,2.53581,0.40131
594,2.53636,0.39928
595,2.53681,0.39679
596,2.53743,0.39409
597,2.53797,0.39151
598,2.53837,0.38866
599,2.53871,0.38623
600,2.53902,0.38338
601,2.53946,0.38078
602,2.53991,0.37829
603,2.54017,0.37512
604,2.54032,0.37235
605,2.54042,0.36976
606,2.54056,0.36731
607,2.5406,0.36425
608,2.54057,0.36086
609,2.54047,0.35847
610,2.54016,0.35559
611,2.53976,0.35302
612,2.53941,0.35018
613,2.53894,0.3474
614,2.53853,0.3449
615,2.53805,0.34247
616,2.53759,0.33987
617,2.53723,0.33742
618,2.53699,0.33523
619,2.53658,0.33267
620,2.53607,0.33059
621,2.53543,0.32829
622,2.53465,0.32554
623,2.5339,0.32318
624,2.53298,0.32079
625,2.53215,0.31861
626,2.53113,0.31634
627,2.53014,0.31425
628,2.52926,0.31253
629,2.5284,0.31027
630,2.5273,0.30794
631,2.52637,0.30625
632,2.5253,0.3036
633,2.52431,0.3023
634,2.5234,0.30095
635,2.52234,0.29914
636,2.5212,0.29754
637,2.52006,0.29603
638,2.51887,0.2942
639,2.51783,0.29321
640,2.51683,0.29175
641,2.51591,0.29078
642,2.51486,0.28886
643,2.51392,0.28749
644,2.51295,0.28595
645,2.51185,0.28429
646,2.51081,0.28327
647,2.50987,0.28244
648,2.50883,0.28193
649,2.50755,0.28053
650,2.50644,0.27923
651,2.50541,0.27862
652,2.50394,0.27709
653,2.50237,0.27592
654,2.5008,0.2752
655,2.49937,0.27465
656,2.49803,0.27431
657,2.49716,0.27385
658,2.49621,0.27303
659,2.49503,0.27107
660,2.49428,0.2697
661,2.49368,0.26934
662,2.49268,0.26847
663,2.49128,0.26745
664,2.48946,0.26714
665,2.48798,0.26634
666,2.48677,0.2658
667,2.48536,0.26481
668,2.48441,0.26469
669,2.48296,0.26556
670,2.48155,0.26514
671,2.48044,0.26408
672,2.47946,0.26285
673,2.47832,0.26241
674,2.47666,0.26167
675,2.47487,0.26096
676,2.47387,0.26053
677,2.47251,0.26
678,2.47025,0.25992
679,2.46865,0.25935
680,2.46606,0.25868
681,2.46355,0.25823
682,2.46244,0.25786
683,2.4623,0.25751
684,2.46265,0.25683
685,2.46272,0.25538
686,2.46368,0.25415
687,2.46438,0.25339
688,2.464,0.25286
689,2.46259,0.25286
690,2.46245,0.25238
691,2.46284,0.2522
692,2.46392,0.25079
693,2.46496,0.24954
694,2.46554,0.24966
695,2.46571,0.24954
696,2.46554,0.24876
697,2.46496,0.24742
698,2.46448,0.24758
699,2.46383,0.24766
700,2.46293,0.24666
701,2.46215,0.24619
702,2.46138,0.24582
703,2.46068,0.24572
704,2.46008,0.24534
705,2.45912,0.24431
706,2.45836,0.24365
707,2.45795,0.24355
708,2.45769,0.24402
709,2.45678,0.24293
710,2.45598,0.24262
711,2.45523,0.24266
712,2.45461,0.24157
713,2.4542,0.24133
714,2.45383,0.24104
715,2.45334,0.23981
716,2.45263,0.23945
717,2.4525,0.23932
718,2.45265,0.23901
719,2.45275,0.23928
720,2.45334,0.23839
721,2.45426,0.23701
722,2.45535,0.23671
723,2.45678,0.23672
724,2.45826,0.23631
725,2.45981,0.23483
726,2.46137,0.23269
727,2.46287,0.23187
728,2.46451,0.23145
729,2.46623,0.23088
730,2.46818,0.22916
731,2.471,0.22721
732,2.47409,0.22477
733,2.47744,0.22228
734,2.48106,0.22056
735,2.48514,0.21763
736,2.4896,0.21329
737,2.49402,0.20889
738,2.49841,0.20421
739,2.50264,0.20006
740,2.50696,0.19515
741,2.51118,0.18993
742,2.51532,0.18491
743,2.51899,0.17834
744,2.52207,0.17173
745,2.52464,0.16487
746,2.52654,0.15756
747,2.52774,0.14966
748,2.52814,0.14149
749,2.52775,0.13302
750,2.52647,0.12546
751,2.52452,0.11794
752,2.52198,0.11041
753,2.51863,0.10292
754,2.51458,0.09551
755,2.51001,0.08823
756,2.5052,0.08114
757,2.50009,0.07427
758,2.4946,0.06767
759,2.48874,0.06137
760,2.48271,0.05544
761,2.4765,0.04987
762,2.47023,0.04465
763,2.46387,0.03986
764,2.45713,0.03547
765,2.45011,0.03144
766,2.44315,0.02778
767,2.43643,0.02451
768,2.42993,0.02157
769,2.42354,0.01893
770,2.41709,0.01659
771,2.41086,0.01452
772,2.40475,0.01269
773,2.39887,0.01106
774,2.39297,0.00966
775,2.38702,0.00842
776,2.38124,0.00732
