Wavelength (nm),IT4F_n,IT4F_k
564,1.21994,0.19551
565,1.21633,0.20039
566,1.21277,0.20531
567,1.20927,0.21028
568,1.20586,0.21527
569,1.2025,0.22028
570,1.19922,0.22529
571,1.196,0.23028
572,1.19283,0.23525
573,1.18976,0.24017
574,1.18673,0.24503
575,1.18375,0.24983
576,1.18085,0.25451
577,1.178,0.25913
578,1.1752,0.26362
579,1.17247,0.26796
580,1.16977,0.27222
581,1.16715,0.27629
582,1.16456,0.28029
583,1.16201,0.28422
584,1.15953,0.28805
585,1.15707,0.29188
586,1.15466,0.29567
587,1.15229,0.29949
588,1.14994,0.30333
589,1.14765,0.30723
590,1.14542,0.31122
591,1.14323,0.31525
592,1.1412,0.31948
593,1.13926,0.3238
594,1.13743,0.32826
595,1.13581,0.33297
596,1.13431,0.3378
597,1.13304,0.3429
598,1.13199,0.34824
599,1.13109,0.35375
600,1.13056,0.35967
601,1.13022,0.36582
602,1.13013,0.37223
603,1.13044,0.37909
604,1.13095,0.38618
605,1.13184,0.3937
606,1.1331,0.40162
607,1.13458,0.40981
608,1.13659,0.4186
609,1.1389,0.42769
610,1.14152,0.43712
611,1.1447,0.44704
612,1.14815,0.45716
613,1.15204,0.4676
614,1.15641,0.47831
615,1.16106,0.48917
616,1.16629,0.50028
617,1.1719,0.51149
618,1.17781,0.5228
619,1.18433,0.53421
620,1.19107,0.54563
621,1.19815,0.55706
622,1.20558,0.56845
623,1.21319,0.57978
624,1.22109,0.591
625,1.22916,0.60207
626,1.23735,0.61305
627,1.24575,0.62372
628,1.25421,0.63422
629,1.26275,0.64451
630,1.27136,0.65442
631,1.27998,0.66413
632,1.28861,0.67345
633,1.29721,0.68239
634,1.30579,0.69111
635,1.31429,0.69924
636,1.32271,0.70705
637,1.33106,0.71451
638,1.33925,0.72136
639,1.34734,0.7279
640,1.35528,0.73393
641,1.36303,0.7395
642,1.37066,0.7448
643,1.37802,0.74961
644,1.38521,0.75418
645,1.39225,0.75853
646,1.39894,0.76253
647,1.40547,0.76642
648,1.41174,0.77012
649,1.4177,0.77368
650,1.42348,0.77717
651,1.42893,0.78056
652,1.43418,0.78393
653,1.4393,0.78727
654,1.44419,0.79064
655,1.44902,0.79404
656,1.45376,0.79749
657,1.45846,0.80106
658,1.46315,0.8047
659,1.46785,0.80849
660,1.47262,0.81244
661,1.47743,0.8165
662,1.4824,0.82083
663,1.48748,0.82532
664,1.49269,0.82999
665,1.49816,0.83499
666,1.50378,0.84017
667,1.50965,0.84563
668,1.51581,0.85142
669,1.52215,0.8574
670,1.52891,0.86382
671,1.53594,0.87051
672,1.54322,0.87745
673,1.55102,0.88491
674,1.55906,0.89261
675,1.56749,0.90067
676,1.57641,0.90911
677,1.58559,0.91772
678,1.59533,0.92663
679,1.60547,0.93569
680,1.61589,0.94486
681,1.62703,0.95418
682,1.63847,0.96351
683,1.65035,0.97287
684,1.66284,0.98218
685,1.67564,0.99144
686,1.68902,1.0006
687,1.70287,1.00959
688,1.71701,1.01849
689,1.73173,1.02707
690,1.74669,1.03546
691,1.76191,1.04364
692,1.77751,1.05139
693,1.79325,1.05891
694,1.80922,1.06605
695,1.82537,1.07274
696,1.84161,1.07916
697,1.85799,1.08499
698,1.87443,1.09041
699,1.89092,1.0955
700,1.90745,1.09983
701,1.92396,1.10381
702,1.94047,1.10726
703,1.95691,1.11003
704,1.97332,1.11242
705,1.98963,1.11409
706,2.00584,1.11518
707,2.02198,1.11587
708,2.03792,1.11564
709,2.05377,1.11497
710,2.06948,1.11375
711,2.08497,1.11169
712,2.10034,1.10922
713,2.1155,1.10602
714,2.13045,1.10219
715,2.14527,1.09798
716,2.15981,1.09302
717,2.17417,1.08768
718,2.18837,1.082
719,2.20225,1.07571
720,2.216,1.06919
721,2.22951,1.0623
722,2.24277,1.05504
723,2.25589,1.0476
724,2.26873,1.03981
725,2.28139,1.0318
726,2.29391,1.02365
727,2.30612,1.01519
728,2.31823,1.00662
729,2.33017,0.99789
730,2.34189,0.98897
731,2.35352,0.97997
732,2.36498,0.97081
733,2.37629,0.96154
734,2.38751,0.9522
735,2.39854,0.94272
736,2.40948,0.93317
737,2.42032,0.92355
738,2.43099,0.91381
739,2.44158,0.90403
740,2.45205,0.89417
741,2.46237,0.88422
742,2.47261,0.87423
743,2.48268,0.86414
744,2.49262,0.85399
745,2.50248,0.8438
746,2.5121,0.83349
747,2.52162,0.82313
748,2.53098,0.8127
749,2.54011,0.80217
750,2.54912,0.79159
751,2.55789,0.7809
752,2.56644,0.77012
753,2.57483,0.75928
754,2.58288,0.74829
755,2.59071,0.73722
756,2.59834,0.72607
757,2.60554,0.71475
758,2.61254,0.70336
759,2.6192,0.69185
760,2.62544,0.68023
761,2.63145,0.66853
762,2.63696,0.65671
763,2.64209,0.64481
764,2.64696,0.63285
765,2.65113,0.62076
766,2.65499,0.60862
767,2.65842,0.59642
768,2.66118,0.58413
769,2.6636,0.57181
770,2.66539,0.55942
771,2.66658,0.54699
772,2.66739,0.53453
773,2.66736,0.52203
774,2.66689,0.5095
775,2.66598,0.49697
776,2.66429,0.48441
777,2.66225,0.47186
778,2.6597,0.45931
779,2.65655,0.44678
780,2.6531,0.43426
781,2.64906,0.42178
782,2.64461,0.40934
783,2.63987,0.39693
784,2.6345,0.3846
785,2.62887,0.37233
786,2.6229,0.36012
787,2.61645,0.34803
788,2.60978,0.336
789,2.60273,0.32409
790,2.59534,0.31231
791,2.58775,0.30061
792,2.57978,0.28911
793,2.57159,0.27773
794,2.56321,0.26647
795,2.55448,0.25547
796,2.54562,0.2446
797,2.53655,0.23391
798,2.52726,0.22349
799,2.51785,0.21321
800,2.50826,0.20322
