Wavelength (nm),ITICinCB_n,ITICinCB_k
564,1.32314,0.3563
565,1.3213,0.36112
566,1.31952,0.36576
567,1.31782,0.3702
568,1.31621,0.37442
569,1.31465,0.37857
570,1.31317,0.3826
571,1.31174,0.38661
572,1.31035,0.39061
573,1.30903,0.39467
574,1.30775,0.39882
575,1.30649,0.40305
576,1.3053,0.40752
577,1.30412,0.41213
578,1.30299,0.41699
579,1.3019,0.42218
580,1.30083,0.42756
581,1.29981,0.43342
582,1.29882,0.43961
583,1.29787,0.44609
584,1.29698,0.45323
585,1.29613,0.46069
586,1.29533,0.46865
587,1.29461,0.47727
588,1.29394,0.48624
589,1.29337,0.49596
590,1.29289,0.50625
591,1.29247,0.51695
592,1.29224,0.52866
593,1.2921,0.54077
594,1.2921,0.55345
595,1.29236,0.56678
596,1.29277,0.58039
597,1.29348,0.59448
598,1.29446,0.60883
599,1.29563,0.62335
600,1.29727,0.63812
601,1.29914,0.65292
602,1.30129,0.66777
603,1.30389,0.68255
604,1.30672,0.69727
605,1.30994,0.71183
606,1.31352,0.72614
607,1.31733,0.7403
608,1.32162,0.75402
609,1.32617,0.76745
610,1.33098,0.78057
611,1.33624,0.79306
612,1.34171,0.80523
613,1.3475,0.81685
614,1.35364,0.82784
615,1.35997,0.83846
616,1.36668,0.84826
617,1.37364,0.85749
618,1.38079,0.86626
619,1.38834,0.87399
620,1.39607,0.88126
621,1.40406,0.8878
622,1.41236,0.89342
623,1.42083,0.89856
624,1.42962,0.90276
625,1.43861,0.90637
626,1.44775,0.90958
627,1.4572,0.91198
628,1.46676,0.91412
629,1.47648,0.91589
630,1.48639,0.91726
631,1.4964,0.91847
632,1.50656,0.91943
633,1.51683,0.92026
634,1.52717,0.92101
635,1.53763,0.92171
636,1.54814,0.92244
637,1.5587,0.9232
638,1.56932,0.92411
639,1.57996,0.92513
640,1.59062,0.92634
641,1.60128,0.92782
642,1.61193,0.92947
643,1.62255,0.93153
644,1.63314,0.93388
645,1.64369,0.9365
646,1.65416,0.93972
647,1.66457,0.94321
648,1.67491,0.94717
649,1.68513,0.95172
650,1.69529,0.95659
651,1.7053,0.96216
652,1.71521,0.96825
653,1.72503,0.97471
654,1.73465,0.9821
655,1.74419,0.98991
656,1.75359,0.9983
657,1.76282,1.00749
658,1.77198,1.01704
659,1.78103,1.02721
660,1.79003,1.03774
661,1.79901,1.04851
662,1.80797,1.05963
663,1.81696,1.07084
664,1.82597,1.08215
665,1.83507,1.09346
666,1.84422,1.10474
667,1.85347,1.1159
668,1.86285,1.12685
669,1.87231,1.13765
670,1.88196,1.14804
671,1.89174,1.15812
672,1.90164,1.16792
673,1.9118,1.17705
674,1.92208,1.18584
675,1.93256,1.19408
676,1.94329,1.2016
677,1.95415,1.20871
678,1.96531,1.21496
679,1.97669,1.22054
680,1.98822,1.22564
681,2.00016,1.22952
682,2.01228,1.23285
683,2.02465,1.23542
684,2.03741,1.23685
685,2.05037,1.23769
686,2.0637,1.23742
687,2.07739,1.23617
688,2.0913,1.23429
689,2.10575,1.23095
690,2.12051,1.22684
691,2.13559,1.22189
692,2.15127,1.21546
693,2.16725,1.20834
694,2.18374,1.20004
695,2.20075,1.19059
696,2.21805,1.18049
697,2.2359,1.16915
698,2.25405,1.15714
699,2.27245,1.14456
700,2.29128,1.13096
701,2.31026,1.11699
702,2.32947,1.10245
703,2.34888,1.08732
704,2.36838,1.0719
705,2.38802,1.05601
706,2.40771,1.03982
707,2.42742,1.02343
708,2.44711,1.00669
709,2.46674,0.98984
710,2.48631,0.97285
711,2.5057,0.95572
712,2.52497,0.93854
713,2.54402,0.92131
714,2.56278,0.90407
715,2.58137,0.88685
