Wavelength (nm),TaTmdopedF6TCNNQ_n,TaTmdopedF6TCNNQ_k
563,1.78231,0.10478
564,1.78165,0.10471
565,1.78108,0.10412
566,1.78047,0.10378
567,1.77984,0.10526
568,1.77924,0.10441
569,1.77868,0.10068
570,1.7781,0.10112
571,1.77753,0.10051
572,1.77695,0.10069
573,1.77633,0.09955
574,1.7758,0.09683
575,1.77518,0.09858
576,1.7746,0.09901
577,1.774,0.09733
578,1.77341,0.09379
579,1.77284,0.09343
580,1.7723,0.09385
581,1.7718,0.09188
582,1.77129,0.09071
583,1.77069,0.0922
584,1.77008,0.09423
585,1.76948,0.09144
586,1.76892,0.09375
587,1.76841,0.09283
588,1.76792,0.09191
589,1.76744,0.09288
590,1.76697,0.0925
591,1.76644,0.09238
592,1.76594,0.09607
593,1.76546,0.09161
594,1.765,0.09122
595,1.76449,0.09219
596,1.76401,0.09262
597,1.76355,0.0914
598,1.76311,0.08936
599,1.76265,0.09089
600,1.76219,0.08774
601,1.76165,0.08706
602,1.76115,0.08748
603,1.76065,0.09039
604,1.76019,0.0922
605,1.75971,0.08736
606,1.75922,0.08695
607,1.75872,0.08598
608,1.75821,0.08501
609,1.75769,0.08626
610,1.7572,0.08668
611,1.7567,0.08767
612,1.75625,0.08641
613,1.7558,0.08486
614,1.75537,0.085
615,1.75494,0.08683
616,1.75449,0.08584
617,1.75402,0.08938
618,1.75352,0.08782
619,1.75302,0.08512
620,1.75253,0.08526
621,1.75208,0.08739
622,1.75163,0.08582
623,1.75117,0.08567
624,1.75074,0.08553
625,1.75039,0.08452
626,1.75012,0.08609
627,1.7499,0.08105
628,1.74965,0.08204
629,1.74943,0.08246
630,1.74923,0.08028
631,1.74907,0.08475
632,1.74891,0.08228
633,1.74872,0.08357
634,1.7485,0.07992
635,1.74826,0.07947
636,1.748,0.08105
637,1.74781,0.07884
638,1.74769,0.07984
639,1.7475,0.08085
640,1.74733,0.07481
641,1.74711,0.08257
642,1.74695,0.07681
643,1.74681,0.07752
644,1.74664,0.07941
645,1.7465,0.08131
646,1.74634,0.08114
647,1.74615,0.07652
648,1.74601,0.07783
649,1.7459,0.07914
650,1.74581,0.08045
651,1.7457,0.07729
652,1.7456,0.0789
653,1.74548,0.07843
654,1.74537,0.07555
655,1.74521,0.07476
656,1.74507,0.06586
657,1.74497,0.06656
658,1.74489,0.06998
659,1.74477,0.07703
660,1.74468,0.07473
661,1.74457,0.07666
662,1.74446,0.07678
663,1.7443,0.07416
664,1.74416,0.07457
665,1.74402,0.07408
666,1.74391,0.07724
667,1.74376,0.07674
668,1.74362,0.07349
669,1.74344,0.07697
670,1.74326,0.07586
671,1.74309,0.07659
672,1.74292,0.07393
673,1.74272,0.07558
674,1.74256,0.07384
675,1.7424,0.07209
676,1.74221,0.07344
677,1.74203,0.07758
678,1.74189,0.07677
679,1.74174,0.07314
680,1.74161,0.07294
681,1.74144,0.07586
682,1.74123,0.07597
683,1.74107,0.07577
684,1.74087,0.07337
685,1.74068,0.07442
686,1.74043,0.06981
687,1.74022,0.07401
688,1.74009,0.07317
689,1.74002,0.0717
690,1.73994,0.07496
691,1.73984,0.0681
692,1.73974,0.06979
693,1.73967,0.06576
694,1.73962,0.07126
695,1.73955,0.07136
696,1.73944,0.06828
697,1.73936,0.07125
698,1.73925,0.06975
699,1.73917,0.07113
700,1.73908,0.07027
701,1.73904,0.07037
702,1.73902,0.0679
703,1.73894,0.06606
704,1.73889,0.06551
705,1.7388,0.0711
706,1.73872,0.06732
707,1.7386,0.06709
708,1.73847,0.06945
709,1.73836,0.07053
710,1.73823,0.07063
711,1.73808,0.0691
712,1.73798,0.06919
713,1.7379,0.06864
714,1.73783,0.07135
715,1.73774,0.06916
716,1.73766,0.07254
717,1.73761,0.06869
718,1.73752,0.06978
719,1.73742,0.06757
720,1.73737,0.06964
721,1.73734,0.06709
722,1.73731,0.06454
723,1.73726,0.06529
724,1.73725,0.06638
725,1.73723,0.06414
726,1.73724,0.06356
727,1.73721,0.06399
728,1.73722,0.0624
729,1.73721,0.06216
730,1.73721,0.06592
731,1.73717,0.06434
732,1.73714,0.06577
733,1.73707,0.06485
734,1.73699,0.0646
735,1.7369,0.06031
736,1.7368,0.06309
737,1.73669,0.05777
738,1.7366,0.06428
739,1.73649,0.05962
740,1.7364,0.06581
741,1.73637,0.06114
742,1.7363,0.05986
743,1.73625,0.0671
744,1.73618,0.0648
745,1.73608,0.06728
746,1.73597,0.06463
747,1.7359,0.06712
748,1.73582,0.06412
749,1.73577,0.06489
750,1.73574,0.06326
751,1.73576,0.05887
752,1.73571,0.06481
753,1.73568,0.06317
754,1.73562,0.06671
755,1.73561,0.06853
756,1.73559,0.06792
757,1.73558,0.06663
758,1.73557,0.06393
759,1.7355,0.06123
760,1.73545,0.06097
761,1.73543,0.06209
762,1.73537,0.06742
763,1.73534,0.06436
764,1.73532,0.06199
765,1.73532,0.06172
766,1.73529,0.05969
767,1.73528,0.05485
768,1.73531,0.0602
769,1.73529,0.06204
770,1.73528,0.05824
771,1.73524,0.05231
772,1.73524,0.05874
773,1.73523,0.06059
774,1.73518,0.05748
775,1.73512,0.05116
776,1.73512,0.05691
777,1.73513,0.05556
778,1.73516,0.0567
779,1.7352,0.05035
780,1.73524,0.04827
781,1.73528,0.05227
782,1.73528,0.05664
783,1.7353,0.05527
784,1.73535,0.05283
785,1.73539,0.05722
786,1.73542,0.05837
787,1.73544,0.05628
788,1.73549,0.05816
789,1.73552,0.0557
790,1.73556,0.05541
791,1.73562,0.05802
792,1.73568,0.06027
793,1.73572,0.05525
794,1.73577,0.05714
795,1.73581,0.05685
796,1.73583,0.05364
797,1.73586,0.05371
798,1.73587,0.05414
799,1.7359,0.05384
800,1.73591,0.05354
801,1.73592,0.05251
802,1.73594,0.05625
803,1.73596,0.05411
804,1.73604,0.05381
805,1.73605,0.0524
806,1.73606,0.05985
807,1.7361,0.05475
808,1.73612,0.0563
809,1.73614,0.05266
810,1.73617,0.04901
811,1.73626,0.04944
812,1.73634,0.05174
813,1.73642,0.04957
814,1.73651,0.05672
815,1.73658,0.05044
816,1.73666,0.04863
817,1.73676,0.05543
818,1.73682,0.05025
819,1.73689,0.05218
820,1.73694,0.05713
821,1.73704,0.0493
822,1.73709,0.05275
823,1.73714,0.04603
824,1.73719,0.04797
825,1.73724,0.0537
826,1.7373,0.05036
827,1.73736,0.05762
828,1.73742,0.05997
829,1.73744,0.05624
830,1.73749,0.04832
831,1.7376,0.05676
832,1.73765,0.05454
833,1.73771,0.05155
834,1.73778,0.05352
835,1.73783,0.05244
836,1.73791,0.04944
837,1.73798,0.04834
838,1.73802,0.0461
839,1.73804,0.04846
840,1.7381,0.05352
841,1.73817,0.04202
842,1.73825,0.04825
843,1.73835,0.04173
844,1.7384,0.04759
845,1.73846,0.05113
846,1.73851,0.0446
847,1.73858,0.04543
848,1.73868,0.04587
849,1.73876,0.04592
850,1.73884,0.04481
851,1.73893,0.05032
852,1.73901,0.05155
853,1.73907,0.04888
854,1.73914,0.0505
855,1.73918,0.05291
856,1.73917,0.04748
857,1.73917,0.04282
858,1.73921,0.04484
859,1.73928,0.04568
860,1.73935,0.04928
861,1.73938,0.04539
862,1.73937,0.04939
863,1.73936,0.04945
864,1.73935,0.04
865,1.73931,0.03807
866,1.73925,0.0389
867,1.73917,0.04531
868,1.73912,0.04058
869,1.73903,0.05179
870,1.73898,0.04507
871,1.73895,0.04272
872,1.73887,0.04117
873,1.73882,0.04922
874,1.73876,0.04207
875,1.73872,0.05335
876,1.73866,0.04497
877,1.73857,0.04744
878,1.73848,0.04065
879,1.7384,0.03586
880,1.73829,0.04195
881,1.73818,0.03877
882,1.73806,0.05175
883,1.73799,0.04938
884,1.73789,0.04052
885,1.73779,0.03813
886,1.73769,0.04346
887,1.73768,0.04717
888,1.73758,0.046
889,1.73755,0.04523
890,1.7375,0.04692
891,1.73748,0.05228
892,1.73748,0.04457
893,1.73747,0.04871
894,1.73754,0.04057
895,1.73759,0.04021
896,1.73761,0.04148
897,1.73775,0.04153
898,1.73788,0.04363
899,1.73801,0.04492
900,1.73813,0.04621
900,0.13499,2.38153
