Wavelength (nm),PCE10PC60BMVLC_n,PCE10PC60BMVLC_k
563,1.83438,0.09852
564,1.83365,0.09939
565,1.83295,0.10029
566,1.83226,0.10121
567,1.8316,0.10214
568,1.83096,0.10309
569,1.83034,0.10405
570,1.82975,0.10502
571,1.82918,0.10601
572,1.82863,0.10701
573,1.82812,0.10802
574,1.82762,0.10904
575,1.82714,0.11007
576,1.82669,0.11111
577,1.82625,0.11215
578,1.82583,0.11321
579,1.82544,0.11428
580,1.82505,0.11535
581,1.82468,0.11643
582,1.82433,0.11751
583,1.82398,0.11861
584,1.82365,0.11971
585,1.82333,0.12082
586,1.82302,0.12193
587,1.82272,0.12305
588,1.82243,0.12418
589,1.82215,0.12533
590,1.82188,0.12649
591,1.82161,0.12766
592,1.82137,0.12886
593,1.82112,0.13008
594,1.82089,0.13131
595,1.82067,0.13258
596,1.82046,0.13386
597,1.82026,0.13518
598,1.82007,0.13653
599,1.81989,0.1379
600,1.81973,0.13932
601,1.81957,0.14076
602,1.81943,0.14224
603,1.81933,0.14375
604,1.81925,0.14529
605,1.8192,0.14687
606,1.8192,0.14848
607,1.81922,0.1501
608,1.81932,0.15178
609,1.81946,0.15347
610,1.81964,0.15519
611,1.81991,0.15695
612,1.82023,0.15873
613,1.82062,0.16054
614,1.8211,0.16238
615,1.82163,0.16424
616,1.82227,0.16612
617,1.82297,0.16802
618,1.82373,0.16992
619,1.82461,0.17181
620,1.82554,0.1737
621,1.82654,0.17558
622,1.82763,0.17742
623,1.82877,0.17924
624,1.83,0.18101
625,1.8313,0.18274
626,1.83264,0.18444
627,1.83408,0.18604
628,1.83557,0.1876
629,1.83712,0.18909
630,1.83875,0.19048
631,1.84042,0.19182
632,1.84216,0.19306
633,1.84395,0.19421
634,1.84577,0.19531
635,1.84763,0.19629
636,1.8495,0.19721
637,1.8514,0.19807
638,1.8533,0.19882
639,1.85521,0.19952
640,1.85711,0.20014
641,1.85899,0.20067
642,1.86086,0.20117
643,1.8627,0.20156
644,1.86451,0.2019
645,1.86629,0.20219
