Wavelength (nm),CuSCN_n,CuSCN_k
564,1.87403,0.00658
565,1.87365,0.00656
566,1.87327,0.00654
567,1.87289,0.00652
568,1.87251,0.0065
569,1.87214,0.00648
570,1.87177,0.00646
571,1.8714,0.00644
572,1.87103,0.00642
573,1.87067,0.0064
574,1.8703,0.00638
575,1.86994,0.00636
576,1.86958,0.00634
577,1.86922,0.00633
578,1.86887,0.00631
579,1.86852,0.00629
580,1.86816,0.00627
581,1.86781,0.00625
582,1.86747,0.00623
583,1.86712,0.00621
584,1.86678,0.0062
585,1.86643,0.00618
586,1.86609,0.00616
587,1.86576,0.00614
588,1.86542,0.00612
589,1.86509,0.00611
590,1.86475,0.00609
591,1.86442,0.00607
592,1.86409,0.00606
593,1.86376,0.00604
594,1.86344,0.00602
595,1.86312,0.006
596,1.86279,0.00599
597,1.86247,0.00597
598,1.86215,0.00595
599,1.86184,0.00594
600,1.86152,0.00592
601,1.86121,0.0059
602,1.8609,0.00589
603,1.86059,0.00587
604,1.86028,0.00586
605,1.85997,0.00584
606,1.85966,0.00583
607,1.85936,0.00581
608,1.85906,0.00579
609,1.85876,0.00578
610,1.85846,0.00576
611,1.85816,0.00575
612,1.85786,0.00573
613,1.85757,0.00572
614,1.85728,0.0057
615,1.85698,0.00569
616,1.8567,0.00567
617,1.85641,0.00566
618,1.85612,0.00564
619,1.85583,0.00563
620,1.85555,0.00561
621,1.85527,0.0056
622,1.85499,0.00558
623,1.85471,0.00557
624,1.85443,0.00556
625,1.85415,0.00554
626,1.85387,0.00553
627,1.8536,0.00551
628,1.85333,0.0055
629,1.85306,0.00549
630,1.85279,0.00547
631,1.85252,0.00546
632,1.85225,0.00544
633,1.85199,0.00543
634,1.85172,0.00542
635,1.85146,0.00541
636,1.8512,0.00539
637,1.85093,0.00538
638,1.85068,0.00537
639,1.85042,0.00535
640,1.85016,0.00534
641,1.8499,0.00533
642,1.84965,0.00531
643,1.8494,0.0053
644,1.84915,0.00529
645,1.84889,0.00528
646,1.84865,0.00526
647,1.8484,0.00525
648,1.84815,0.00524
649,1.84791,0.00523
650,1.84766,0.00521
651,1.84742,0.0052
652,1.84718,0.00519
653,1.84693,0.00518
654,1.84669,0.00517
655,1.84646,0.00515
656,1.84622,0.00514
657,1.84598,0.00513
658,1.84575,0.00512
659,1.84551,0.00511
