Wavelength (nm),BCPLiu _n,BCPLiu_k
565,1.73196,1.2557
566,1.73167,1.25563
567,1.73138,1.25561
568,1.73109,1.25559
569,1.73081,1.25557
570,1.73052,1.25554
571,1.73023,1.25552
572,1.72994,1.2555
573,1.72965,1.25548
574,1.72936,1.25546
575,1.72907,1.25544
576,1.72878,1.25542
577,1.7285,1.25539
578,1.72821,1.25537
579,1.72792,1.25535
580,1.72763,1.25533
581,1.72734,1.25531
582,1.72705,1.25529
583,1.72676,1.25527
584,1.72648,1.25524
585,1.72619,1.25522
586,1.7259,1.2552
587,1.72561,1.25518
588,1.72532,1.25516
589,1.72503,1.25514
590,1.72474,1.25512
591,1.72445,1.2551
592,1.72417,1.25507
593,1.72388,1.25505
594,1.72359,1.25503
595,1.72335,1.25501
596,1.72312,1.25499
597,1.7229,1.25497
598,1.72268,1.25495
599,1.72246,1.25492
600,1.72224,1.2549
601,1.72201,1.25488
602,1.72179,1.25486
603,1.72157,1.25484
604,1.72135,1.25482
605,1.72112,1.2548
606,1.7209,1.25478
607,1.72068,1.25475
608,1.72046,1.25473
609,1.72024,1.25471
610,1.72001,1.25469
611,1.71979,1.25467
612,1.71957,1.25465
613,1.71935,1.25463
614,1.71912,1.2546
615,1.7189,1.25458
616,1.71868,1.25456
617,1.71846,1.25454
618,1.71824,1.25452
619,1.71801,1.2545
620,1.71779,1.25448
621,1.71757,1.25445
622,1.71735,1.25443
623,1.71713,1.25441
624,1.7169,1.25439
625,1.71668,1.25437
626,1.71646,1.25435
627,1.71624,1.25433
628,1.71602,1.25431
629,1.71582,1.25428
630,1.71561,1.25426
631,1.7154,1.25424
632,1.71519,1.25422
633,1.71498,1.2542
634,1.71477,1.2542
635,1.71457,1.25422
636,1.71436,1.25423
637,1.71415,1.25425
638,1.71394,1.25427
639,1.71373,1.25428
640,1.71352,1.2543
641,1.71332,1.25432
642,1.71311,1.25433
643,1.7129,1.25435
644,1.71269,1.25437
645,1.71248,1.25438
646,1.71227,1.2544
647,1.71207,1.25442
648,1.71186,1.25443
649,1.71165,1.25445
650,1.71144,1.25447
651,1.71123,1.25448
652,1.71102,1.2545
653,1.71082,1.25452
654,1.71061,1.25453
655,1.7104,1.25455
656,1.71019,1.25457
657,1.70998,1.25458
658,1.70978,1.2546
659,1.70957,1.25462
660,1.70936,1.25463
661,1.70915,1.25465
662,1.70894,1.25467
663,1.70876,1.25468
664,1.70861,1.2547
665,1.70845,1.25472
666,1.7083,1.25473
667,1.70815,1.25475
668,1.708,1.25477
669,1.70784,1.25478
670,1.70769,1.2548
671,1.70754,1.25482
672,1.70739,1.25483
673,1.70723,1.25485
674,1.70708,1.25487
675,1.70693,1.25488
676,1.70678,1.2549
677,1.70662,1.25492
678,1.70647,1.25493
679,1.70632,1.25495
680,1.70616,1.25497
681,1.70601,1.25498
682,1.70586,1.255
683,1.70571,1.25502
684,1.70555,1.25503
685,1.7054,1.25505
686,1.70525,1.25507
687,1.7051,1.25508
688,1.70494,1.2551
689,1.70479,1.25512
690,1.70464,1.25513
691,1.70449,1.25515
692,1.70433,1.25517
693,1.70418,1.25518
694,1.70403,1.25518
695,1.70389,1.25516
696,1.70378,1.25514
697,1.70367,1.25512
698,1.70356,1.2551
699,1.70345,1.25508
700,1.70334,1.25506
701,1.70324,1.25504
702,1.70313,1.25502
703,1.70302,1.255
704,1.70291,1.25498
705,1.7028,1.25496
706,1.7027,1.25494
707,1.70259,1.25492
708,1.70248,1.2549
709,1.70237,1.25488
710,1.70226,1.25486
711,1.70215,1.25484
712,1.70205,1.25482
713,1.70194,1.2548
714,1.70183,1.25478
715,1.70172,1.25476
716,1.70161,1.25474
717,1.70151,1.25472
718,1.7014,1.2547
719,1.70129,1.25468
720,1.70118,1.25466
721,1.70107,1.25464
722,1.70096,1.25462
723,1.70086,1.2546
724,1.70075,1.25458
725,1.70064,1.25456
726,1.70053,1.25454
727,1.70042,1.25452
728,1.70032,1.2545
729,1.70021,1.25448
730,1.70008,1.25446
731,1.69994,1.25444
732,1.6998,1.25442
733,1.69967,1.2544
734,1.69953,1.25438
735,1.69939,1.25436
736,1.69925,1.25434
737,1.69912,1.25432
738,1.69898,1.2543
739,1.69884,1.25428
740,1.6987,1.25426
741,1.69857,1.25424
742,1.69843,1.25422
743,1.69829,1.2542
744,1.69816,1.25418
745,1.69802,1.25416
746,1.69788,1.25414
747,1.69774,1.25412
748,1.69761,1.2541
749,1.69747,1.25408
750,1.69733,1.25406
751,1.69719,1.25404
752,1.69706,1.25402
753,1.69692,1.254
754,1.69678,1.25398
755,1.69665,1.25396
756,1.69651,1.25394
757,1.69637,1.25393
758,1.69623,1.25391
759,1.6961,1.25389
760,1.69596,1.25387
761,1.69582,1.25385
762,1.69568,1.25383
763,1.69555,1.25381
764,1.69541,1.25379
765,1.69527,1.25377
766,1.69518,1.25375
767,1.6951,1.25372
768,1.69502,1.2537
769,1.69494,1.25367
770,1.69486,1.25364
771,1.69478,1.25361
772,1.6947,1.25358
773,1.69462,1.25355
774,1.69454,1.25352
775,1.69446,1.25349
776,1.69438,1.25347
777,1.6943,1.25344
778,1.69422,1.25341
779,1.69414,1.25338
780,1.69406,1.25335
781,1.69398,1.25332
782,1.6939,1.25329
783,1.69382,1.25326
784,1.69374,1.25324
785,1.69366,1.25321
786,1.69358,1.25318
787,1.69351,1.25315
788,1.69343,1.25312
789,1.69335,1.25309
790,1.69327,1.25306
791,1.69319,1.25303
792,1.69311,1.253
793,1.69303,1.25298
794,1.69295,1.25295
795,1.69287,1.25292
796,1.69279,1.25289
797,1.6927,1.25286
798,1.6926,1.25283
799,1.69249,1.2528
800,1.69239,1.25277
