Wavelength (nm),PBDTTPDaloneVLC_n,PBDTTPDaloneVLC_k
563,1.63553,0.46849
564,1.6388,0.46868
565,1.6418,0.46863
566,1.64465,0.46848
567,1.64733,0.46821
568,1.64968,0.46777
569,1.65186,0.46727
570,1.65374,0.46665
571,1.6553,0.46595
572,1.65667,0.46522
573,1.65756,0.46444
574,1.65818,0.46367
575,1.65852,0.4629
576,1.65831,0.46222
577,1.65784,0.46161
578,1.65694,0.46112
579,1.65555,0.46084
580,1.65389,0.4607
581,1.65163,0.46092
582,1.649,0.46143
583,1.64606,0.46219
584,1.64248,0.46362
585,1.63864,0.46539
586,1.63441,0.46772
587,1.62975,0.47084
588,1.62488,0.47442
589,1.61965,0.479
590,1.61426,0.48439
591,1.60875,0.49036
592,1.60316,0.49787
593,1.59764,0.50608
594,1.59221,0.5153
595,1.58717,0.52597
596,1.5824,0.53738
597,1.57826,0.55023
598,1.57486,0.56421
599,1.57196,0.57893
600,1.57058,0.59528
601,1.57006,0.6123
602,1.57062,0.63015
603,1.57314,0.64903
604,1.57667,0.66831
605,1.58208,0.6882
606,1.58937,0.70837
607,1.59779,0.72866
608,1.60884,0.74889
609,1.62131,0.76886
610,1.63523,0.78855
611,1.65167,0.80734
612,1.6692,0.82558
613,1.68851,0.84284
614,1.70953,0.85879
615,1.73149,0.87395
616,1.75523,0.88727
617,1.77992,0.8993
618,1.8054,0.91025
619,1.83219,0.91874
620,1.85942,0.92613
621,1.8873,0.9318
622,1.91568,0.93533
623,1.94426,0.93771
624,1.97307,0.93783
625,2.00186,0.9363
626,2.03062,0.93364
627,2.05901,0.92831
628,2.08711,0.92191
629,2.11482,0.91401
630,2.14174,0.9041
631,2.16821,0.89323
632,2.19377,0.88063
633,2.21841,0.86669
634,2.24245,0.85192
635,2.26499,0.8354
636,2.28671,0.81812
637,2.3075,0.79996
638,2.32664,0.78058
639,2.34499,0.76069
640,2.36195,0.73998
641,2.37749,0.71862
642,2.3922,0.6969
643,2.40509,0.67458
644,2.41692,0.65201
645,2.42777,0.62922
646,2.43673,0.60621
647,2.44488,0.58317
648,2.45174,0.56011
649,2.45716,0.53717
650,2.46181,0.51433
651,2.46496,0.49177
652,2.46712,0.46949
653,2.46856,0.44742
654,2.46842,0.42598
655,2.46767,0.40486
656,2.46605,0.38418
657,2.46335,0.36421
658,2.46013,0.3446
659,2.45598,0.32573
660,2.45117,0.3075
661,2.44592,0.28968
662,2.43981,0.27286
663,2.43334,0.25654
664,2.42645,0.2408
665,2.419,0.22601
666,2.41132,0.21168
667,2.40327,0.19812
668,2.39495,0.18531
669,2.38647,0.17294
670,2.37773,0.1615
671,2.3689,0.15059
672,2.35997,0.14016
673,2.35096,0.13063
674,2.34194,0.12149
675,2.3329,0.11294
676,2.32391,0.10505
677,2.31496,0.0975
678,2.3061,0.09062
679,2.29733,0.08417
680,2.28864,0.07802
681,2.28015,0.07256
682,2.27176,0.06735
683,2.26352,0.06251
684,2.25549,0.05814
685,2.24758,0.05398
686,2.23988,0.05021
687,2.23238,0.04674
688,2.22499,0.04345
689,2.21789,0.04053
690,2.21093,0.03779
691,2.20413,0.03523
692,2.19759,0.03296
693,2.19118,0.0308
694,2.18497,0.02884
695,2.17896,0.02704
696,2.17307,0.02535
697,2.16742,0.02383
698,2.16191,0.02242
699,2.15652,0.02108
700,2.15137,0.0199
701,2.14632,0.01878
702,2.14141,0.01774
703,2.13669,0.0168
704,2.13205,0.01589
705,2.12759,0.01508
706,2.12325,0.01431
707,2.11899,0.01358
708,2.11491,0.01292
709,2.11091,0.0123
710,2.10701,0.0117
711,2.10325,0.01116
712,2.09955,0.01064
713,2.09597,0.01015
714,2.09248,0.0097
715,2.08906,0.00926
716,2.08575,0.00886
717,2.08251,0.00847
718,2.07934,0.0081
719,2.07627,0.00775
720,2.07325,0.00742
721,2.07031,0.0071
722,2.06745,0.00681
723,2.06462,0.00652
724,2.06188,0.00625
725,2.0592,0.00599
726,2.05656,0.00574
727,2.054,0.0055
728,2.05148,0.00527
729,2.04901,0.00505
730,2.0466,0.00485
731,2.04423,0.00465
732,2.04191,0.00445
733,2.03964,0.00427
734,2.0374,0.00409
735,2.03522,0.00393
736,2.03308,0.00377
737,2.03097,0.00361
738,2.02891,0.00346
739,2.02689,0.00332
740,2.0249,0.00318
741,2.02295,0.00305
742,2.02102,0.00292
743,2.01915,0.0028
744,2.0173,0.00269
745,2.01547,0.00258
746,2.0137,0.00247
747,2.01194,0.00237
748,2.01021,0.00227
749,2.00853,0.00217
750,2.00686,0.00208
751,2.00522,0.002
752,2.00361,0.00191
753,2.00202,0.00183
754,2.00047,0.00176
755,1.99893,0.00168
756,1.99742,0.00161
757,1.99594,0.00155
758,1.99448,0.00148
759,1.99304,0.00142
760,1.99163,0.00136
761,1.99024,0.0013
762,1.98887,0.00125
763,1.98752,0.00119
764,1.98619,0.00114
765,1.98489,0.0011
766,1.9836,0.00105
767,1.98233,0.00101
768,1.98108,9.63019E-4
769,1.97985,9.21948E-4
770,1.97864,8.82755E-4
771,1.97744,8.45693E-4
772,1.97626,8.09835E-4
773,1.97511,7.75695E-4
774,1.97397,7.42847E-4
775,1.97284,7.11234E-4
776,1.97173,6.81382E-4
777,1.97064,6.52322E-4
778,1.96956,6.24498E-4
779,1.9685,5.98127E-4
780,1.96745,5.7255E-4
781,1.96642,5.48518E-4
782,1.9654,5.25249E-4
783,1.96439,5.02524E-4
784,1.96341,4.8165E-4
785,1.96243,4.61335E-4
786,1.96147,4.41725E-4
787,1.96052,4.23204E-4
788,1.95958,4.05213E-4
789,1.95866,3.88131E-4
790,1.95775,3.71934E-4
791,1.95685,3.56192E-4
792,1.95597,3.41005E-4
793,1.95509,3.26501E-4
794,1.95423,3.12579E-4
795,1.95338,2.99264E-4
796,1.95254,2.86453E-4
797,1.95171,2.74429E-4
798,1.95089,2.62908E-4
799,1.95009,2.51791E-4
800,1.94929,2.41664E-4
