Wavelength (nm),SiO2Brabec_n,SiO2Brabec_k
473,1.4541,0
474,1.4541,0
475,1.454,0
476,1.454,0
477,1.4539,0
478,1.4539,0
479,1.4538,0
480,1.4538,0
481,1.4538,0
482,1.4538,0
483,1.4538,0
484,1.4538,0
485,1.4538,0
486,1.4538,0
487,1.4537,0
488,1.4537,0
489,1.4536,0
490,1.4536,0
491,1.4536,0
492,1.4535,0
493,1.4535,0
494,1.4535,0
495,1.4534,0
496,1.4534,0
497,1.4534,0
498,1.4534,0
499,1.4534,0
500,1.4533,0
501,1.4533,0
502,1.4533,0
503,1.4533,0
504,1.4532,0
505,1.4532,0
506,1.4532,0
507,1.4531,0
508,1.4531,0
509,1.4531,0
510,1.4531,0
511,1.453,0
512,1.453,0
513,1.453,0
514,1.4529,0
515,1.4529,0
516,1.4529,0
517,1.4529,0
518,1.4529,0
519,1.4529,0
520,1.4529,0
521,1.4529,0
522,1.4529,0
523,1.4529,0
524,1.4528,0
525,1.4528,0
526,1.4527,0
527,1.4526,0
528,1.4526,0
529,1.4525,0
530,1.4525,0
531,1.4525,0
532,1.4525,0
533,1.4525,0
534,1.4525,0
535,1.4525,0
536,1.4525,0
537,1.4525,0
538,1.4525,0
539,1.4524,0
540,1.4524,0
541,1.4523,0
542,1.4523,0
543,1.4522,0
544,1.4522,0
545,1.4521,0
546,1.4521,0
547,1.4521,0
548,1.4521,0
549,1.4521,0
550,1.4521,0
551,1.4521,0
552,1.4521,0
553,1.4521,0
554,1.452,0
555,1.452,0
556,1.452,0
557,1.452,0
558,1.452,0
559,1.452,0
560,1.452,0
561,1.452,0
562,1.452,0
563,1.4519,0
564,1.4519,0
565,1.4518,0
566,1.4518,0
567,1.4518,0
568,1.4517,0
569,1.4517,0
570,1.4516,0
571,1.4516,0
572,1.4516,0
573,1.4516,0
574,1.4516,0
575,1.4516,0
576,1.4516,0
577,1.4516,0
578,1.4516,0
579,1.4516,0
580,1.4516,0
581,1.4515,0
582,1.4515,0
583,1.4515,0
584,1.4514,0
585,1.4514,0
586,1.4514,0
587,1.4513,0
588,1.4513,0
589,1.4513,0
590,1.4513,0
591,1.4513,0
592,1.4512,0
593,1.4512,0
594,1.4512,0
595,1.4512,0
596,1.4512,0
597,1.4512,0
598,1.4511,0
599,1.4511,0
600,1.4511,0
601,1.4511,0
602,1.451,0
603,1.451,0
604,1.451,0
605,1.451,0
606,1.4509,0
607,1.4509,0
608,1.4509,0
609,1.4509,0
610,1.4508,0
611,1.4508,0
612,1.4508,0
613,1.4508,0
614,1.4508,0
615,1.4508,0
616,1.4508,0
617,1.4508,0
618,1.4508,0
619,1.4508,0
620,1.4508,0
621,1.4508,0
622,1.4508,0
623,1.4507,0
624,1.4507,0
625,1.4506,0
626,1.4506,0
627,1.4505,0
628,1.4505,0
629,1.4505,0
630,1.4504,0
631,1.4504,0
632,1.4503,0
633,1.4503,0
634,1.4503,0
635,1.4503,0
636,1.4503,0
637,1.4503,0
638,1.4503,0
639,1.4503,0
640,1.4503,0
641,1.4503,0
642,1.4503,0
643,1.4503,0
644,1.4503,0
